response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,85 percent or higher,Landline,1,0.8596,1.0087,0.7801,1.0245,2018-10-12 00:53:31
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Rest,50 to 85 percent,Landline,1,0.747,1.3169,1.3742,1.3656,2018-10-12 00:58:19
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.965,1.0776,0.844,1.0805,2018-10-12 00:58:28
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Rest of Maricopa,85 percent or higher,Cell,1,0.9947,0.6411,0.4249,0.6428,2018-10-12 01:04:21
Rep,50 to 64,Grade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Phoenix,50 to 85 percent,Cell,1,0.5544,1.2254,1.4238,1.3379,2018-10-12 01:07:21
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.965,1.0871,0.8253,1.081,2018-10-12 01:07:30
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Phoenix/Tempe,85 percent or higher,Landline,1,0.9462,1.0411,0.7605,1.0456,2018-10-12 01:09:45
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,85 percent or higher,Cell,1,0.8949,1.0935,0.8039,1.1048,2018-10-12 01:16:40
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest,Less than 50 percent,Cell,1,0.4827,0.7208,1.0421,0.8079,2018-10-12 01:17:43
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9957,0.7642,0.5939,0.7665,2018-10-12 01:20:07
