response,ager,educ,file_race,gender,race_eth,approve,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,[DO NOT READ] Don't know/Refused,50 to 64,White,Rest of Maricopa,85 percent or higher,Cell,1,0.993,0.8711,0.4437,0.8618,2018-10-15 22:55:59
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Favorable,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9661,0.73,0.3704,0.7223,2018-10-15 23:04:04
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.7068,0.8429,0.736,0.8946,2018-10-15 23:04:04
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,or as a member of another political party,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9837,0.9342,0.5304,0.9269,2018-10-15 23:04:31
Rep,65 and older,High school,Hispanic,Female,Hispanic,Approve,Don't know,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,Nonwhite,65 and older,Non-White,Rest of Maricopa,85 percent or higher,Cell,1,0.9698,1.5173,1.2108,1.5086,2018-10-15 23:06:01
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,White,Approve,Don't know,Rep.,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Cell,1,0.3104,1.3273,2.7819,1.6089,2018-10-15 23:07:49
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8462,0.8519,0.5726,0.8557,2018-10-15 23:09:46
Rep,65 and older,Bachelors' degree,White,Male,White,Disapp.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7803,0.9352,0.6391,0.9505,2018-10-15 23:10:58
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9926,0.942,0.5088,0.9293,2018-10-15 23:13:13
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Favorable,Don't know,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Pima,85 percent or higher,Cell,1,0.998,0.7305,0.303,0.7235,2018-10-15 23:19:21
