response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,High school,White,Female,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,White,Lancaster/Palmdale,50 to 85 percent,Cell,1,0.7624,1.7982,1.5695,1.855,2018-09-17 13:16:58
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Other Non-White,Santa Clarita,85 percent or higher,Landline,1,0.9847,0.5208,0.1913,0.5208,2018-09-17 13:17:34
Rep,35 to 49,Graduate or Professional Degree,White,Male,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,Postgraduate Degree,Other,Male,Very likely,Republican,Nonwhite,35 to 49,White,Santa Clarita,Less than 50 percent,Cell,0.8889,0.3703,1.0699,1.0621,1.1046,2018-09-17 13:18:01
Und,18 to 34,High school,Hispanic,Male,Hispanic,Support,agree,Don't know,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,High School Grad. or Less,Other,Male,Very likely,[DO NOT READ] Refused,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.3413,0.8433,1.3861,0.9264,2018-09-17 13:18:10
Rep,18 to 34,High school,White,Male,White,Oppose,agree,Don't know,oppose,Oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,18 to 29,High School Grad. or Less,Other,Male,Not very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Ventura/Simi Valley,Less than 50 percent,Cell,0.3333,0.3736,1.7981,2.8757,0.8288,2018-09-17 13:20:25
Und,50 to 64,Bachelors' degree,White,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Don't know,Unfavorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,50 to 64,White,Ventura/Simi Valley,85 percent or higher,Landline,0.7778,0.9851,1.0938,0.5541,1.0821,2018-09-17 13:21:28
Dem,50 to 64,High school,Black,Female,Black,Don't know,agree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Other Non-White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9686,1.2441,0.8915,1.2447,2018-09-17 13:21:46
Und,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Favorable,disagree,65 and older,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of LA County,85 percent or higher,Cell,0.8889,0.9444,0.9482,0.4746,0.9328,2018-09-17 13:26:25
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest of LA County,85 percent or higher,Cell,1,0.9786,1.4468,0.6438,1.4384,2018-09-17 13:26:34
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,agree,45 to 64,Postgraduate Degree,Other,Male,Somewhat likely,Democrat,[DO NOT READ] Don't know/Refused,35 to 49,White,Santa Clarita,Less than 50 percent,Cell,0.4444,0.2993,1.0699,1.3131,0.6544,2018-09-17 13:27:10
