response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of LA County,50 to 85 percent,Cell,1,0.5165,2.3723,2.3974,2.5525,2018-10-26 01:09:13
Und,35 to 49,Some college or trade school,Asian,Female,Hispanic,Disapp.,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Other Non-White,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.2894,0.5933,1.2259,0.7197,2018-10-26 01:13:07
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Lancaster/Palmdale,Less than 50 percent,Cell,0.7778,0.1788,0.8265,2.908,0.6416,2018-10-26 01:28:02
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9492,0.6549,0.3966,0.6394,2018-10-26 01:31:15
Dem,35 to 49,High school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,White,Rest of LA County,85 percent or higher,Cell,1,0.9636,1.7393,1.2439,1.6963,2018-10-26 01:36:57
Und,65 and older,Graduate or Professional Degree,Asian,Male,Asian,Approve,Don't know,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Other Non-White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9085,0.3139,0.1299,0.3029,2018-10-26 01:40:33
Rep,65 and older,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,65 and older,White,Lancaster/Palmdale,50 to 85 percent,Landline,1,0.5682,0.7992,0.5316,0.799,2018-10-26 01:43:51
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9546,0.6787,0.3179,0.6623,2018-10-26 01:44:00
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,White,Approve,Don't know,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,Unknown,Rest of LA County,50 to 85 percent,Cell,1,0.5703,0.9889,0.7551,1.0445,2018-10-26 01:47:12
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Ventura/Simi Valley,50 to 85 percent,Landline,1,0.554,1.3316,0.646,1.4141,2018-10-26 01:49:09
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.7436,1.3316,0.4813,1.2972,2018-10-26 01:54:42
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",18 to 34,White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.8917,0.9178,0.5831,0.8858,2018-10-26 01:55:54
Rep,18 to 34,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Already voted,Republican,Nonwhite,18 to 34,White,Rest of LA County,Less than 50 percent,Cell,1,0.1913,1.4912,5.6658,2.1833,2018-10-26 02:02:13
Dem,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.7744,0.9719,0.5951,0.9746,2018-10-26 02:03:07
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9306,1.0769,0.5103,1.0394,2018-10-26 02:05:49
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",35 to 49,White,Santa Clarita,50 to 85 percent,Cell,1,0.7808,1.4257,0.8686,1.4592,2018-10-26 02:07:37
Und,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,Hispanic,Santa Clarita,50 to 85 percent,Cell,0.6667,0.5622,1.2637,1.5654,0.9599,2018-10-26 02:11:13
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Female,Already voted,or as a member of another political party,"White, 4-Year College Grads",50 to 64,Unknown,Rest of LA County,85 percent or higher,Cell,1,0.97,0.7515,0.3653,0.7364,2018-10-26 02:11:31
