response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_noblack,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,4-year College Grad.,White,Orange,50 to 85 percent,Cell,1,0.818,0.8876,0.5981,0.9014,2018-10-23 14:03:12
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Orange,85 percent or higher,Cell,1,0.9635,1.3088,0.906,1.2921,2018-10-23 14:03:12
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.97,0.8995,0.4876,0.8887,2018-10-23 14:03:12
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Orange,85 percent or higher,Cell,1,0.9062,0.8147,0.3826,0.8027,2018-10-23 14:03:12
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Orange,85 percent or higher,Landline,1,0.968,1.3088,0.9018,1.3029,2018-10-23 14:03:12
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Orange,85 percent or higher,Cell,1,0.9672,1.3088,0.9025,1.3029,2018-10-23 14:03:12
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Los Angeles,50 to 85 percent,Landline,1,0.5669,1.1589,1.1239,1.2512,2018-10-23 14:03:21
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Unknown,Orange,Less than 50 percent,Cell,1,0.3564,1.098,1.7122,1.3842,2018-10-23 14:03:21
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Orange,85 percent or higher,Cell,1,0.9505,1.3088,0.9183,1.3046,2018-10-23 14:03:21
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Orange,50 to 85 percent,Landline,1,0.8404,1.0793,0.7001,1.0919,2018-10-23 14:03:21
