response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Some college or trade school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.6302,0.8235,0.7754,0.8933,2018-09-22 01:02:12
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Oppose,Don't know,Disapp.,Reps. keep House,Don't know,No,Don't know,Support,18 to 29,Some College Educ.,Other,Male,Not at all likely,Independent (No party),Nonwhite,18 to 34,No 4-year College Degree,Hispanic,Assembly Dist. 68,Less than 50 percent,Cell,0.2222,0.0911,1.0586,4.1804,0.2861,2018-09-22 01:04:54
Rep,65 and older,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.978,0.9112,0.67490000000000006,0.9284,2018-09-22 01:06:33
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9871,0.8046,0.4901,0.8164,2018-09-22 01:21:21
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9484,0.7805,0.5332,0.7967,2018-09-22 01:25:15
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Irvine,85 percent or higher,Landline,1,0.9905,0.8398,0.5099,0.8558,2018-09-22 01:26:36
Dem,18 to 34,Some college or trade school,White,Female,Black,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,No 4-year College Degree,White,Irvine,Less than 50 percent,Cell,0.6667,0.4421,1.1601,1.852,1.1939,2018-09-22 01:26:54
Und,50 to 64,Bachelors' degree,White,Male,White,Support,support,Disapp.,Don't know,Don't know,No,Don't know,Oppose,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,0.8889,0.9544,0.9911,0.6068,0.9949,2018-09-22 01:38:44
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Favorable,Support,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,18 to 34,4-year College Grad.,Hispanic,Assembly Dist. 68,50 to 85 percent,Cell,0.8889,0.5519,0.9618,0.998,0.9741,2018-09-22 01:40:59
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Irvine,85 percent or higher,Landline,1,0.8646,1.1365,0.7385,1.1475,2018-09-22 01:43:41
Dem,18 to 34,High school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.8853,0.721,0.5789,0.7416,2018-09-22 01:43:50
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,Unknown,Irvine,85 percent or higher,Cell,1,0.9869,0.9519,0.6182,0.9658,2018-09-22 01:46:08
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Oppose,oppose,Disapp.,Don't know,Don't know,No,Unfavorable,Support,18 to 29,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,Unknown,Assembly Dist. 68,Less than 50 percent,Cell,0.3333,0.1908,1.1537,3.9976,0.6257,2018-09-22 01:47:38
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Irvine,85 percent or higher,Cell,1,0.9919,1.1671,0.7774,1.1858,2018-09-22 01:47:38
Rep,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Oppose,oppose,Disapp.,Reps. keep House,Unfavorable,No,Favorable,Support,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,Nonwhite,35 to 49,Postgraduate Degree,Other Non-White,Irvine,85 percent or higher,Cell,1,0.9029,1.0268,0.7974,1.0358,2018-09-22 01:48:32
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Support,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,4-year College Grad.,Other Non-White,Irvine,Less than 50 percent,Cell,1,0.227,2.087,6.79,2.7969,2018-09-22 01:52:08
Und,18 to 34,Bachelors' degree,Asian,Male,Asian,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,30 to 44,4-year College Grad.,Other,Male,Not very likely,[DO NOT READ] Refused,Nonwhite,18 to 34,4-year College Grad.,Other Non-White,Assembly Dist. 73/74,Less than 50 percent,Cell,0.4444,0.3876,1.8912,3.2719,0.9877,2018-09-22 01:52:44
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.984,0.7531,0.4466,0.7673,2018-09-22 01:52:44
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9578,0.7835,0.4182,0.7992,2018-09-22 01:54:14
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,No,Favorable,Support,65 and older,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Assembly Dist. 68,50 to 85 percent,Landline,1,0.6746,0.9374,0.7867,1.005,2018-09-22 01:54:23
Dem,18 to 34,Some college or trade school,Unknown,Male,White,Oppose,Don't know,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,Unknown,Irvine,50 to 85 percent,Cell,1,0.8013,0.8034,0.6974,0.838,2018-09-22 01:55:44
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Irvine,85 percent or higher,Cell,1,0.9496,0.9199,0.7189,0.9289,2018-09-22 01:56:29
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Don't know,Don't know,Disapp.,Dems. take House,Don't know,No,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,Unknown,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.796,0.9376,0.7854,0.9789,2018-09-22 01:58:17
Dem,18 to 34,Bachelors' degree,Other,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,Other Non-White,Assembly Dist. 68,50 to 85 percent,Landline,1,0.5237,1.4507,1.7473,1.6276,2018-09-22 01:58:17
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,Unknown,Irvine,85 percent or higher,Cell,1,0.9305,0.7242,0.5281,0.7406,2018-09-22 01:58:26
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Oppose,support,Approve,Reps. keep House,Unfavorable,Don't know,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Unknown,Assembly Dist. 68,85 percent or higher,Cell,1,0.9822,0.7836,0.4639,0.7942,2018-09-22 01:59:38
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,Postgraduate Degree,Hispanic,Assembly Dist. 68,85 percent or higher,Cell,1,0.9679,0.786,0.4549,0.8012,2018-09-22 01:59:56
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Favorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9918,0.7619,0.421,0.7765,2018-09-22 02:00:26
Rep,50 to 64,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9234,0.7924,0.4446,0.7994,2018-09-22 02:00:35
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,White,Don't know,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Hispanic,Irvine,85 percent or higher,Cell,1,0.9002,0.7707,0.5247,0.7911,2018-09-22 02:03:17
Rep,50 to 64,Graduate or Professional Degree,Other,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Other Non-White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.8827,1.1068,0.893,1.1389,2018-09-22 02:04:20
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9617,0.7324,0.4763,0.7468,2018-09-22 02:04:47
