response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Asian,Female,Asian,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,Postgraduate Degree,Other Non-White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,0.7495,0.3819,0.7217,2018-10-27 03:11:00
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9473,1.185,0.8735,1.1602,2018-10-27 03:27:01
Rep,50 to 64,Bachelors' degree,Unknown,Female,[DO NOT READ] Don't know/Refused,Approve,Don't know,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,4-year College Grad.,Unknown,Irvine,85 percent or higher,Landline,1,0.97,1.8456,1.1659,1.7905,2018-10-27 03:30:28
Rep,18 to 34,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,No 4-year College Degree,White,Assembly Dist. 73/74,Less than 50 percent,Cell,1,0.4126,0.7179,1.2886,0.7438,2018-10-27 03:32:52
Dem,65 and older,Some college or trade school,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,Hispanic,Irvine,85 percent or higher,Cell,1,0.8516,1.0039,0.6834,0.988,2018-10-27 03:36:53
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.8978,1.1646,0.9431,1.1383,2018-10-27 04:05:11
Dem,18 to 34,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,4-year College Grad.,White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.6764,1.3383,1.5892,1.3651,2018-10-27 04:09:23
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Landline,1,0.4918,0.9482,1.3846,0.7821,2018-10-27 04:20:42
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.8672,1.1021,0.862,1.082,2018-10-27 16:49:37
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9434,0.7612,0.4649,0.7314,2018-10-27 16:55:28
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.97,1.2046,0.8136,1.1686,2018-10-27 16:55:37
