response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIA,CRIMES,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,file_race_noblack,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,agree,agree,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Landline,1,0.9838,1.4907,0.9649,1.5313,2018-09-05 00:41:43
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Landline,1,0.9822,1.1105,0.7028,1.1408,2018-09-05 00:52:02
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Unfavorable,oppose,oppose,no,agree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Hispanic,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8305,1.6303,1.321,1.7056,2018-09-05 00:54:35
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9768,0.9258,0.5371,0.9511,2018-09-05 00:49:29
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9483,0.7349,0.5151,0.7564,2018-09-05 00:45:26
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Costa Mesa/North,85 percent or higher,Landline,1,0.9855,1.2837,0.7986,1.3187,2018-09-05 01:10:52
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Disapp.,disagree,Dems. take House,Favorable,Unfavorable,oppose,support,no,disagree,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",Unknown,Newport Beach,85 percent or higher,Landline,1,0.9962,0.984,0.7334,1.01,2018-09-05 01:10:07
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Costa Mesa/North,50 to 85 percent,Cell,1,0.7943,0.9547,0.7537,1.0053,2018-09-05 01:10:25
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,disagree,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9844,0.8186,0.4921,0.841,2018-09-05 01:09:58
Und,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,oppose,oppose,no,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,White,Laguna Beach/South,85 percent or higher,Landline,1,0.9825,1.1105,0.7026,1.1408,2018-09-05 01:02:55
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Approve,Don't know,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Costa Mesa/North,85 percent or higher,Landline,1,0.9581,1.437,0.9175,1.4778,2018-09-05 01:04:07
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Newport Beach,Less than 50 percent,Cell,0.8889,0.4075,0.5242,1.0028,0.5994,2018-09-05 01:11:37
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Don't know,agree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,disagree,agree,disagree,18 to 29,4-year College Grad.,Other,Male,Very likely,Republican,Nonwhite,Hispanic,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.6251,0.452,0.5164,0.4715,2018-09-05 01:22:22
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Approve,agree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9844,1.0891,0.6985,1.1135,2018-09-05 01:16:31
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Don't know,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Laguna Beach/South,50 to 85 percent,Cell,1,0.7496,0.5532,0.4534,0.5878,2018-09-05 01:18:01
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Disapp.,agree,Reps. keep House,Don't know,Unfavorable,oppose,oppose,no,disagree,disagree,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9819,1.3773,0.8632,1.4149,2018-09-05 01:23:25
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Approve,disagree,Reps. keep House,Favorable,Favorable,oppose,oppose,no,disagree,disagree,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Costa Mesa/North,85 percent or higher,Landline,1,0.9715,1.5427,1.0437,1.5852,2018-09-05 01:24:37
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Newport Beach,50 to 85 percent,Landline,1,0.8438,1.2158,0.9701,1.2691,2018-09-05 01:18:46
Dem,65 and older,High school,White,Female,Hispanic,Disapp.,Approve,agree,Dems. take House,Don't know,Don't know,support,support,no,agree,agree,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.4198,1.4119,3.3667,1.668,2018-09-05 01:37:57
Dem,50 to 64,Bachelors' degree,Other,Female,White,Disapp.,Approve,agree,Dems. take House,Unfavorable,Don't know,support,support,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.9319,1.434,1.2993,1.459,2018-09-05 01:37:39
