response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Costa Mesa/North,50 to 85 percent,Cell,1,0.7434,1.536,1.3927,1.5522,2018-10-30 00:32:16
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Don't know,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Costa Mesa/North,85 percent or higher,Landline,1,0.97,1.714,1.2614,1.6815,2018-10-30 00:46:51
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Newport Beach,50 to 85 percent,Cell,1,0.6968,0.7541,0.5862,0.7701,2018-10-30 00:47:27
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9482,1.0402,0.5215,1.017,2018-10-30 01:03:22
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.3852,0.7987,1.2919,0.9122,2018-10-30 01:06:58
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Newport Beach,85 percent or higher,Cell,1,0.961,1.5354,1.2089,1.4995,2018-10-30 01:07:07
Rep,50 to 64,Some college or trade school,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,No 4-year College Degree,Other Non-White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.7778,0.3065,1.8304,3.8099,1.7744,2018-10-30 01:17:24
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,Unknown,Costa Mesa/North,85 percent or higher,Cell,1,0.8978,1.0892,1.0437,1.0842,2018-10-30 01:17:42
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.949,1.1081,0.9912,1.0913,2018-10-30 01:20:15
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.97,0.6571,0.489,0.6366,2018-10-30 01:39:18
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Newport Beach,85 percent or higher,Cell,1,0.97,1.2248000000000001,0.58,1.2016,2018-10-30 01:40:21
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Costa Mesa/North,Less than 50 percent,Cell,1,0.2624,1.2127,4.2785,1.5058,2018-10-30 01:46:18
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Newport Beach,50 to 85 percent,Cell,1,0.7864,0.9589,0.7116,0.9811,2018-10-30 01:46:18
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,0.647,0.4655,0.6347,2018-10-30 01:48:42
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9342,0.966,0.4798,0.9336,2018-10-30 01:49:54
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Cell,1,0.91,0.4833,0.419,0.4745,2018-10-30 01:52:09
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8109,1.0893,0.6245,1.0863,2018-10-30 01:57:06
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,Nonwhite,35 to 49,Postgraduate Degree,Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.8761,0.7015,0.5611,0.692,2018-10-30 01:58:18
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Newport Beach,85 percent or higher,Cell,1,0.9632,0.72,0.414,0.6971,2018-10-30 01:58:36
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Laguna Beach/South,50 to 85 percent,Cell,1,0.5671,0.6714,0.8528,0.6723,2018-10-30 02:03:16
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,50 to 64,No 4-year College Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9539,1.5794,1.1692,1.5279,2018-10-30 02:12:16
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Laguna Beach/South,50 to 85 percent,Cell,1,0.7486,0.6235,0.5856,0.6448,2018-10-30 02:13:28
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Newport Beach,50 to 85 percent,Cell,1,0.8192,1.0768,0.7654,1.0923,2018-10-30 02:22:43
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.884,0.9226,0.6018,0.8916,2018-10-30 02:24:49
Dem,50 to 64,Bachelors' degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,Other Non-White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9616,1.3552,0.7073,1.3235,2018-10-30 02:35:35
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Laguna Beach/South,Less than 50 percent,Cell,1,0.4986,0.6081,0.9538,0.6595,2018-10-30 02:42:29
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Laguna Beach/South,50 to 85 percent,Cell,1,0.7176,0.5849,0.5339,0.5945,2018-10-30 02:42:29
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,Unknown,Costa Mesa/North,50 to 85 percent,Cell,1,0.6376,0.8167,0.7201,0.8753,2018-10-30 02:47:36
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,0.6774,0.3921,0.6613,2018-10-30 02:48:57
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,1.0625,0.9183,1.0371,2018-10-30 02:49:41
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Costa Mesa/North,Less than 50 percent,Cell,1,0.356,1.2358,1.8662,1.4351,2018-10-30 02:57:03
Dem,50 to 64,Graduate or Professional Degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,Other Non-White,Newport Beach,85 percent or higher,Cell,1,0.97,0.9701,0.6574,0.9469,2018-10-30 02:57:29
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Laguna Beach/South,Less than 50 percent,Cell,1,0.4487,0.4619,0.7601,0.5384,2018-10-30 02:57:47
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.97,1.2299,1.0023,1.2066,2018-10-30 02:59:46
Rep,35 to 49,Some college or trade school,Asian,Male,Asian,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,No 4-year College Degree,Other Non-White,Costa Mesa/North,85 percent or higher,Cell,1,0.9529,1.8387,1.4642,1.7969,2018-10-30 03:00:03
