response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,educ3,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Bachelors' degree,White,Male,White,NA,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Orange,35 to 49,4-year College Grad.,White,85 percent or higher,Cell,1,0.9773,1.0929,0.573,1.0936,2018-09-19 01:19:46
Dem,50 to 64,Bachelors' degree,White,Female,White,NA,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Don't know,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",Orange,50 to 64,4-year College Grad.,White,50 to 85 percent,Cell,0.8889,0.7286,1.2666,0.9778,1.2404,2018-09-19 01:33:33
Rep,65 and older,Graduate or Professional Degree,White,Female,White,NA,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9735,0.924,0.603,0.9247,2018-09-19 02:15:59
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,NA,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9044,0.4832,0.3074,0.4869,2018-09-19 02:23:20
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,NA,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Orange,50 to 64,Postgraduate Degree,White,85 percent or higher,Landline,1,0.971,0.7051,0.4235,0.7058,2018-09-19 02:30:19
Rep,65 and older,Bachelors' degree,Hispanic,Male,White,NA,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,Hispanic,85 percent or higher,Cell,1,0.8563,1.2818,0.7136,1.2715,2018-09-19 02:33:10
Rep,18 to 34,Some college or trade school,White,Male,White,NA,Don't know,Reps. keep House,Unfavorable,Don't know,Support,Don't know,Don't know,agree,18 to 29,Some College Educ.,Republican,Male,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",Orange,18 to 34,No 4-year College Degree,White,Less than 50 percent,Cell,0.6667,0.3815,1.1433,2.1879,0.8482,2018-09-19 02:34:13
Dem,65 and older,Some college or trade school,White,Female,White,NA,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Orange,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9862,1.1331,0.621,1.1339,2018-09-19 02:35:16
Dem,50 to 64,Bachelors' degree,White,Male,White,NA,Disapp.,Dems. take House,Don't know,Don't know,Support,Support,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,0.8889,0.8709,0.7553,0.4508,0.7569,2018-09-19 02:43:40
Dem,35 to 49,Some college or trade school,White,Male,White,NA,Disapp.,Dems. take House,Don't know,Don't know,Support,Don't know,Oppose,disagree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",San Diego,35 to 49,No 4-year College Degree,White,Less than 50 percent,Cell,0.8889,0.2939,1.6405,3.3807,1.7424,2018-09-19 02:50:09
Dem,50 to 64,High school,White,Male,Black,NA,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),Nonwhite,San Diego,50 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.635,0.9016,2.0652,0.9145,2018-09-19 02:51:30
Dem,65 and older,Some college or trade school,Unknown,Female,White,NA,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Orange,65 and older,No 4-year College Degree,Unknown,85 percent or higher,Landline,1,0.9881,1.3088,0.9738,1.3097,2018-09-19 02:51:39
Dem,65 and older,High school,White,Female,White,NA,Disapp.,Dems. take House,Favorable,Don't know,Oppose,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9761,1.138,1.6972,1.1388,2018-09-19 02:55:15
