response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CLIMATE,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_noasian,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Oppose,agree,Disapp.,support,Very or somewhat,Oppose,agree,Dems. take House,Don't know,Favorable,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,South Miami-Dade,65 and older,Hispanic,50 to 85 percent,Landline,1,0.8185,2.7565,1.6151,2.8979,2018-09-13 21:52:56
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,support,Very or somewhat,Support,agree,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",North Miami-Dade,50 to 64,White,85 percent or higher,Cell,1,0.8843,0.3942,0.1852,0.4021,2018-09-13 21:53:59
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Not or not very,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,North Miami-Dade,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9828,0.7902,0.4624,0.8099,2018-09-13 21:55:02
Rep,65 and older,High school,White,Male,Other,Oppose,agree,Don't know,Don't know,Not or not very,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,Nonwhite,South Miami-Dade,65 and older,White,50 to 85 percent,Landline,1,0.7388,1.5786,1.0689,1.6264,2018-09-13 21:57:08
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,oppose,Not or not very,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Monroe,18 to 34,White,50 to 85 percent,Cell,1,0.6824,0.3042,0.1696,0.3156,2018-09-13 21:58:47
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",North Miami-Dade,65 and older,White,85 percent or higher,Cell,1,0.9323,0.4254,0.2135,0.4398,2018-09-13 21:59:32
Dem,18 to 34,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Monroe,18 to 34,White,50 to 85 percent,Cell,1,0.5419,0.6451,0.6066,0.7271,2018-09-13 21:59:59
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,agree,Approve,oppose,Not or not very,Support,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",North Miami-Dade,50 to 64,White,85 percent or higher,Cell,1,0.9907,0.7546,0.2745,0.7775,2018-09-13 22:03:44
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Not or not very,Support,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Monroe,65 and older,White,85 percent or higher,Cell,1,0.9349,0.6336,0.2864,0.6549,2018-09-13 22:09:26
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,South Miami-Dade,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9948,0.3879,0.159,0.3989,2018-09-13 22:10:11
