response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,educ3,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",North Miami-Dade,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9353,0.6336,0.2158,0.6275,2018-10-23 14:03:12
Und,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",South Miami-Dade,65 and older,Postgraduate Degree,White,Less than 50 percent,Landline,1,0.414,0.6917,0.6025,0.6198,2018-10-23 14:03:12
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,South Miami-Dade,65 and older,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.97,2.3196,1.0138,2.3021,2018-10-23 14:03:12
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,South Miami-Dade,65 and older,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.8556,2.3814,1.363,2.384,2018-10-23 14:03:21
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Not very likely,Democrat,Nonwhite,South Miami-Dade,18 to 34,4-year College Grad.,Hispanic,Less than 50 percent,Cell,0.4444,0.0473,1.0898,3.2515,0.4932,2018-10-23 14:03:21
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,South Miami-Dade,35 to 49,4-year College Grad.,Hispanic,85 percent or higher,Landline,1,0.97,0.9029,0.3408,0.8849,2018-10-23 14:03:21
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,North Miami-Dade,18 to 34,4-year College Grad.,Hispanic,Less than 50 percent,Cell,1,0.3022,0.861,1.2634,0.9513,2018-10-23 14:03:21
Dem,50 to 64,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,South Miami-Dade,50 to 64,No 4-year College Degree,Other Non-White,50 to 85 percent,Cell,1,0.6139,1.1116,0.9107,1.1736,2018-10-23 14:03:30
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Somewhat likely,Independent (No party),Nonwhite,North Miami-Dade,35 to 49,4-year College Grad.,Hispanic,50 to 85 percent,Cell,0.6667,0.6491,0.6969,0.4552,0.552,2018-10-23 14:03:30
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,North Miami-Dade,50 to 64,Postgraduate Degree,Hispanic,85 percent or higher,Landline,1,0.97,0.4967,0.1771,0.4904,2018-10-23 14:03:30
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Republican,Nonwhite,North Miami-Dade,35 to 49,No 4-year College Degree,Hispanic,50 to 85 percent,Cell,1,0.6955,1.0805,0.794,1.1166,2018-10-23 14:03:30
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Not very likely,Independent (No party),Nonwhite,North Miami-Dade,65 and older,No 4-year College Degree,Hispanic,50 to 85 percent,Landline,0.4444,0.5677,1.9302,1.7381,1.1065,2018-10-23 14:03:30
Und,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,South Miami-Dade,18 to 34,Postgraduate Degree,Hispanic,50 to 85 percent,Cell,0.8889,0.7462,0.628,0.2578,0.6307,2018-10-23 14:03:39
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Monroe,35 to 49,4-year College Grad.,White,50 to 85 percent,Cell,1,0.5349,0.5656,0.362,0.6389,2018-10-23 14:03:39
Dem,18 to 34,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,South Miami-Dade,18 to 34,No 4-year College Degree,Other Non-White,85 percent or higher,Cell,1,0.97,1.2589,0.6462,1.2431,2018-10-23 14:03:39
Rep,18 to 34,High school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Other,Female,Very likely,Republican,Nonwhite,South Miami-Dade,18 to 34,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,1,0.1401,1.7439,6.553,2.2065,2018-10-23 14:03:39
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Monroe,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9105,1.429,0.7904,1.4193,2018-10-23 14:03:48
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,North Miami-Dade,50 to 64,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.9177,1.3748,0.7153,1.3437,2018-10-23 14:03:48
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,South Miami-Dade,50 to 64,4-year College Grad.,Hispanic,50 to 85 percent,Cell,1,0.8297,1.0403,0.439,1.0459,2018-10-23 14:03:48
Rep,50 to 64,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",Monroe,50 to 64,No 4-year College Degree,White,Less than 50 percent,Cell,0.6667,0.1486,1.0144,3.9014,0.9904,2018-10-23 14:03:48
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Independent (No party),Nonwhite,North Miami-Dade,50 to 64,4-year College Grad.,Hispanic,85 percent or higher,Cell,1,0.97,0.8867,0.3621,0.88,2018-10-23 14:03:48
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),Nonwhite,North Miami-Dade,50 to 64,Postgraduate Degree,Hispanic,50 to 85 percent,Cell,1,0.5492,0.4524,0.2893,0.5079,2018-10-23 14:03:48
Rep,50 to 64,High school,Hispanic,Male,Other,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Already voted,Republican,Nonwhite,South Miami-Dade,50 to 64,No 4-year College Degree,Hispanic,50 to 85 percent,Cell,1,0.8424,1.656,0.9583,1.6893,2018-10-23 14:03:57
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,Nonwhite,South Miami-Dade,35 to 49,Postgraduate Degree,Hispanic,50 to 85 percent,Cell,1,0.5178,0.5054,0.2847,0.5505,2018-10-23 14:03:57
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Monroe,35 to 49,Postgraduate Degree,White,85 percent or higher,Cell,1,0.8599,0.317,0.1209,0.3102,2018-10-23 14:03:57
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Republican,"White, 4-Year College Grads",Monroe,65 and older,Postgraduate Degree,Hispanic,85 percent or higher,Cell,1,0.97,0.6021,0.1678,0.5975,2018-10-23 14:03:57
Und,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,Nonwhite,North Miami-Dade,65 and older,Postgraduate Degree,Hispanic,85 percent or higher,Cell,1,0.9083,0.71,0.2739,0.7133,2018-10-23 14:03:57
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",Monroe,50 to 64,No 4-year College Degree,White,50 to 85 percent,Landline,0,0.8309,1.0435,0.5677,0.5171,2018-10-23 14:03:57
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",South Miami-Dade,35 to 49,4-year College Grad.,White,85 percent or higher,Cell,1,0.9074,0.7473,0.2632,0.7304,2018-10-23 14:03:57
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Don't know,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",Monroe,35 to 49,Postgraduate Degree,White,Less than 50 percent,Cell,0,0.4309,0.2807,0.2767,0.078,2018-10-23 14:04:06
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Monroe,50 to 64,4-year College Grad.,White,50 to 85 percent,Cell,1,0.5909,0.608,0.3208,0.6463,2018-10-23 14:04:15
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Monroe,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9046,0.8744,0.3027,0.8792,2018-10-23 14:04:15
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Republican,Nonwhite,South Miami-Dade,50 to 64,Postgraduate Degree,Hispanic,Less than 50 percent,Cell,1,0.306,0.5517,0.6092,0.6084,2018-10-23 14:04:24
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,South Miami-Dade,35 to 49,Postgraduate Degree,Other Non-White,85 percent or higher,Cell,1,0.886,0.3395,0.1264,0.3383,2018-10-23 14:04:33
Und,18 to 34,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,South Miami-Dade,18 to 34,Postgraduate Degree,Other Non-White,50 to 85 percent,Cell,1,0.8343,0.4215,0.1596,0.4235,2018-10-23 14:04:33
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,South Miami-Dade,65 and older,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,1,0.1519,2.1457,7.7304,2.051,2018-10-23 14:04:33
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",South Miami-Dade,50 to 64,No 4-year College Degree,White,85 percent or higher,Landline,1,0.8641,1.4788,0.8313,1.4466,2018-10-23 14:04:33
