response,ager,educ,file_race,gender,race_eth,approve,FLAMED4,SENC,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_noasian,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,No,Rep.,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Southwest,50 to 85 percent,Cell,1,0.712,0.9086,0.7093,0.9002,2018-10-23 21:31:05
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Yes,Dem.,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Central,85 percent or higher,Landline,1,0.9452,0.9453,0.583,0.9357,2018-10-23 21:39:20
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Yes,Rep.,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,Southwest,85 percent or higher,Landline,1,0.9925,1.1727,0.6363,1.161,2018-10-23 21:40:50
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Yes,Dem.,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,North/Rural,85 percent or higher,Cell,1,0.9929,1.1993,0.6098,1.1818,2018-10-23 21:43:32
Rep,[DO NOT READ] Refused,Grade school,Other,Male,White,Approve,No,Rep.,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,Other Non-White,I-4,85 percent or higher,Landline,1,0.8721,1.9258,1.7614,1.8845,2018-10-23 21:48:10
Rep,65 and older,Some college or trade school,White,Male,White,Approve,No,Rep.,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,North/Rural,85 percent or higher,Landline,1,0.8849,1.2324,0.7155,1.2056,2018-10-23 21:49:22
Rep,18 to 34,High school,Black,Male,Black,Don't know,Don't know,Rep.,18 to 29,High School Grad. or Less,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,Black,Southeast,50 to 85 percent,Cell,0.4444,0.6212,1.6799,2.1775,1.1772,2018-10-23 21:52:22
Dem,50 to 64,High school,Black,Male,Black,Disapp.,Yes,Dem.,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,50 to 64,Black,I-4,50 to 85 percent,Cell,1,0.5229,1.1475,1.3282,1.174,2018-10-23 21:53:43
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Yes,Dem.,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Central,85 percent or higher,Landline,1,0.9941,0.5884,0.2591,0.5824,2018-10-23 21:55:13
Rep,50 to 64,High school,White,Female,White,Approve,Don't know,Rep.,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,I-4,50 to 85 percent,Cell,1,0.6142,1.6876,1.9784,1.7826,2018-10-23 21:55:40
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,No,Dem.,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,I-4,50 to 85 percent,Landline,1,0.7713,0.6665,0.4366,0.6563,2018-10-23 21:57:10
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,Yes,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,North/Rural,85 percent or higher,Landline,0.8889,0.9266,1.1665,0.7109,1.1311,2018-10-23 21:57:55
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Yes,Don't know,45 to 64,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Central,50 to 85 percent,Landline,0,0.7113,0.9153,0.7451,0.4408,2018-10-23 21:58:13
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Yes,Dem.,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,North/Rural,Less than 50 percent,Landline,0.8889,0.2197,1.2474,2.8877,1.3606,2018-10-23 21:59:25
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Yes,Rep.,30 to 44,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Central,50 to 85 percent,Cell,1,0.7632,0.8024,0.5906,0.7907,2018-10-23 22:00:37
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,No,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",50 to 64,White,North/Rural,50 to 85 percent,Landline,1,0.6832,0.5822,0.4261,0.6038,2018-10-23 22:02:46
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Yes,Dem.,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Southwest,85 percent or higher,Landline,1,0.987,1.1062,0.3978,1.0926,2018-10-23 22:04:34
Dem,65 and older,High school,Black,Male,Black,Disapp.,Yes,Dem.,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,Nonwhite,65 and older,Black,North/Rural,50 to 85 percent,Landline,1,0.5754,1.2836,1.2779,1.4261,2018-10-23 22:09:22
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,No,Rep.,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Central,85 percent or higher,Cell,1,0.8893,0.8879,0.6488,0.8849,2018-10-23 22:09:31
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",50 to 64,White,North/Rural,85 percent or higher,Cell,1,0.8898,0.8556,0.5458,0.8527,2018-10-23 22:09:49
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Yes,Rep.,45 to 64,Postgraduate Degree,Republican,Female,Somewhat likely,Independent (No party),Nonwhite,50 to 64,Hispanic,Southeast,85 percent or higher,Landline,1,0.9905,0.5196,0.2005,0.5075,2018-10-23 22:11:19
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,Yes,Rep.,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Unknown,North/Rural,Less than 50 percent,Cell,1,0.3823,1.0278,1.2799,1.1901,2018-10-23 22:13:25
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,No,Rep.,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Central,85 percent or higher,Cell,1,0.8786,0.8879,0.6567,0.8863,2018-10-23 22:13:34
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Hispanic,Southeast,Less than 50 percent,Cell,1,0.2534,1.0652,2.1083,1.3494,2018-10-23 22:14:19
Und,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,or as a member of another political party,"White, 4-Year College Grads",35 to 49,Unknown,I-4,Less than 50 percent,Cell,1,0.3631,0.8068,0.8246,1.0046,2018-10-23 22:14:37
Dem,65 and older,Grade school,Black,Male,Black,Disapp.,Yes,Dem.,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Black,I-4,50 to 85 percent,Cell,1,0.6572,1.3709,1.1962,1.3681,2018-10-23 22:15:04
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,No,Rep.,45 to 64,Some College Educ.,Other,Male,Already voted,Republican,Nonwhite,50 to 64,Hispanic,Southeast,50 to 85 percent,Cell,1,0.8354,0.7744,0.4133,0.7918,2018-10-23 22:16:52
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Yes,Dem.,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,Southeast,50 to 85 percent,Cell,1,0.759,0.929,0.5304,0.9471,2018-10-23 22:16:52
4,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Yes,Rep.,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,Southwest,85 percent or higher,Cell,1,0.9706,0.6731,0.3041,0.6683,2018-10-23 22:18:40
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,No,Rep.,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Central,85 percent or higher,Landline,0.8889,0.9164,0.6046,0.2939,0.5857,2018-10-23 22:19:52
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Disapp.,Yes,Dem.,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,Black,I-4,50 to 85 percent,Landline,1,0.6997,0.4203,0.1949,0.4465,2018-10-23 22:19:52
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Dem.,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Central,50 to 85 percent,Landline,1,0.6978,0.441,0.2503,0.4558,2018-10-23 22:20:01
Und,65 and older,Some college or trade school,White,Female,White,Approve,Yes,Dem.,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,North/Rural,50 to 85 percent,Landline,0.8889,0.7804,0.9902,0.5954,0.99,2018-10-23 22:24:04
Dem,65 and older,High school,Black,Female,Black,Disapp.,Yes,Rep.,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,Central,50 to 85 percent,Landline,1,0.6548,1.3437,1.3322,1.4037,2018-10-23 22:25:07
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,No,Rep.,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Southeast,Less than 50 percent,Cell,1,0.4678,0.7372,0.7383,0.8195,2018-10-23 22:27:04
Rep,65 and older,High school,White,Female,White,Approve,Yes,Rep.,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,North/Rural,85 percent or higher,Landline,1,0.9903,2.5185,1.915,2.488,2018-10-23 22:29:28
Und,18 to 34,Some college or trade school,White,Female,White,Don't know,No,Don't know,30 to 44,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,I-4,50 to 85 percent,Cell,0.7778,0.8477,1.167,0.8802,1.142,2018-10-23 22:29:37
Dem,50 to 64,Bachelors' degree,Other,Male,White,Don't know,No,Dem.,45 to 64,4-year College Grad.,Democratic,Male,Somewhat likely,Democrat,"White, 4-Year College Grads",50 to 64,Other Non-White,Southeast,50 to 85 percent,Cell,0.4444,0.6017,0.5906,0.5081,0.4096,2018-10-23 22:30:21
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,No,Rep.,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,I-4,50 to 85 percent,Landline,1,0.5616,0.6218,0.5541,0.6947,2018-10-23 22:30:22
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,No,Rep.,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Central,85 percent or higher,Landline,1,0.9836,0.5527,0.2742,0.5432,2018-10-23 22:30:22
Rep,65 and older,High school,White,Female,White,Disapp.,No,Rep.,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,I-4,85 percent or higher,Landline,1,0.99,2.6174,1.9583,2.5857,2018-10-23 22:31:33
