response,ager,educ,file_race,gender,race_eth,approve,GAHORSERACE,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Dekalb,85 percent or higher,Landline,1,0.9208,0.9445,0.6864,0.9196,2018-10-28 20:15:58
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,40 to 64,4-year College Grad.,Black,Fulton,85 percent or higher,Cell,1,0.97,0.9348,0.6473,0.9242,2018-10-28 20:20:46
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Don't know,30 to 44,Postgraduate Degree,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fulton,85 percent or higher,Cell,1,0.9444,0.6845,0.4885,0.6669,2018-10-28 20:34:05
Dem,50 to 64,Bachelors' degree,Other,Male,Asian,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Other Non-White,Fulton,85 percent or higher,Cell,1,0.97,1.1824,0.6797,1.169,2018-10-28 20:43:14
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Fulton,85 percent or higher,Cell,1,0.97,1.1759,1.0223,1.1625,2018-10-28 20:50:53
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Cobb,85 percent or higher,Cell,1,0.97,0.8825,0.5122,0.8616,2018-10-28 21:35:37
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Dekalb,85 percent or higher,Landline,1,0.9298,1.038,0.8431,1.0247,2018-10-28 22:23:57
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Dekalb,85 percent or higher,Landline,1,0.97,0.8921,0.6834,0.8776,2018-10-28 22:25:54
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Fulton,85 percent or higher,Landline,1,0.97,0.9335,0.5299,0.9229,2018-10-28 22:34:33
Dem,[DO NOT READ] Refused,Bachelors' degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,65 and older,4-year College Grad.,Black,Cobb,85 percent or higher,Cell,1,0.97,1.1349,0.7948,1.1164,2018-10-28 22:39:57
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Abrams (D),Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,Fulton,85 percent or higher,Cell,1,0.854,1.2168,0.9562,1.2331,2018-10-28 22:51:50
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Fulton,85 percent or higher,Cell,0.6667,0.8519,1.2725,0.7958,1.1814,2018-10-28 23:00:45
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Fulton,85 percent or higher,Cell,1,0.97,0.8789,0.519,0.8645,2018-10-28 23:09:36
Dem,50 to 64,Bachelors' degree,Black,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,Black,Dekalb,85 percent or higher,Cell,1,0.97,0.8074,0.5274,0.7942,2018-10-28 23:10:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Cobb,85 percent or higher,Cell,1,0.97,0.9646,0.6477,0.9537,2018-10-28 23:20:09
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Cobb,85 percent or higher,Cell,1,0.9018,0.8494,0.6096,0.8413,2018-10-28 23:20:54
Dem,35 to 49,Bachelors' degree,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 39,4-year College Grad.,Black,Fulton,85 percent or higher,Cell,1,0.9677,1.3535,0.8738,1.3387,2018-10-28 23:23:27
Dem,35 to 49,High school,White,Male,Black,Disapp.,Abrams (D),Dems. take House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Fulton,85 percent or higher,Landline,1,0.97,0.9725,0.8216,0.9615,2018-10-28 23:23:54
Dem,[DO NOT READ] Refused,High school,Asian,Male,[DO NOT READ] Don't know/Refused,Disapp.,Lib./Don't know,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,No 4-year College Degree,Other Non-White,Fulton,50 to 85 percent,Cell,0.7778,0.7107,0.9319,1.0159,0.8739,2018-10-28 23:24:03
Und,35 to 49,Graduate or Professional Degree,Other,Male,Asian,Approve,Kemp (R),Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Cobb,Less than 50 percent,Cell,1,0.426,1.1409,1.9191,1.2863,2018-10-28 23:39:32
Dem,35 to 49,High school,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Black,Dekalb,85 percent or higher,Cell,1,0.97,0.6761,0.6178,0.6651,2018-10-28 23:45:37
Und,50 to 64,High school,Hispanic,Male,Other,Approve,Kemp (R),Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,[DO NOT READ] Don't know/Refused,Republican,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,Dekalb,Less than 50 percent,Cell,0.7778,0.3632,0.7986,1.7576,0.571,2018-10-28 23:50:43
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Fulton,85 percent or higher,Cell,1,0.9472,0.9725,0.8414,0.9655,2018-10-28 23:53:07
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Abrams (D),Dems. take House,Don't know,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,Fulton,85 percent or higher,Cell,1,0.97,1.3903,0.6982,1.3676,2018-10-28 23:53:43
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Dekalb,85 percent or higher,Landline,1,0.97,0.9748,0.5371,0.9518,2018-10-29 00:07:35
Dem,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,4-year College Grad.,White,Cobb,85 percent or higher,Landline,0.8889,0.9104,0.8825,0.5457,0.8506,2018-10-29 00:08:47
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Not at all likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Fulton,Less than 50 percent,Landline,0,0.2507,0.8717,2.0797,0.1995,2018-10-29 00:18:00
Rep,35 to 49,Bachelors' degree,Asian,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Other Non-White,Cobb,85 percent or higher,Cell,1,0.8529,1.4771,1.0097,1.4737,2018-10-29 00:29:15
Dem,65 and older,Bachelors' degree,Black,Female,Black,Don't know,Abrams (D),Dems. take House,Don't know,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,Black,Fulton,85 percent or higher,Landline,1,0.9529,1.1303,0.8198,1.1131,2018-10-29 00:29:24
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Dekalb,85 percent or higher,Landline,0.8889,0.97,0.8297,0.5347,0.8132,2018-10-29 00:39:02
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Cobb,85 percent or higher,Landline,1,0.97,0.6873,0.4694,0.6761,2018-10-29 01:00:07
Dem,35 to 49,Some college or trade school,Hispanic,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Other Non-White,Fulton,50 to 85 percent,Cell,1,0.6765,1.2314,1.4423,1.2735,2018-10-29 01:25:17
