response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,High school,White,Male,Other,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,White,Black Hawk,85 percent or higher,Cell,1,0.9243,1.3194,1.0606,1.3914,2018-09-18 19:59:30
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Black Hawk,50 to 85 percent,Cell,1,0.7884,0.5322,0.4245,0.5734,2018-09-18 20:03:19
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Rest, Trump <60%",50 to 85 percent,Cell,1,0.7471,0.8424,0.8127,0.9152,2018-09-18 20:09:55
Rep,65 and older,High school,Unknown,Male,White,support,Approve,Reps. keep House,Don't know,Unfavorable,Oppose,Support,Support,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9799,1.5746,1.0539,1.6531,2018-09-18 20:20:44
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown/Non-White,Linn,50 to 85 percent,Cell,0.7778,0.5694,1.7522,1.5263,1.8826,2018-09-18 20:29:17
Dem,18 to 34,Bachelors' degree,White,Female,White,support,Disapp.,Reps. keep House,Favorable,Unfavorable,Support,Oppose,Support,agree,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Black Hawk,85 percent or higher,Cell,1,0.8875,0.7009,0.5917,0.7427,2018-09-18 20:53:58
Dem,50 to 64,Bachelors' degree,Hispanic,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Unknown/Non-White,Black Hawk,50 to 85 percent,Cell,0.4444,0.5486,0.7558,0.6813,0.3789,2018-09-18 20:58:01
Dem,50 to 64,High school,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Black Hawk,85 percent or higher,Cell,1,0.9311,1.2461,0.8115,1.2957,2018-09-18 21:05:42
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Support,Don't know,disagree,30 to 44,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Linn,50 to 85 percent,Cell,0.7778,0.762,1.3427,1.3948,1.3467,2018-09-18 21:09:00
Und,35 to 49,High school,White,Female,White,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Support,disagree,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Linn,Less than 50 percent,Cell,0.3333,0.1758,2.4555,10.04,1.3662,2018-09-18 21:13:03
