response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,CLIMATE,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,18 to 34,High school,White,Male,White,oppose,Disapp.,Support,Very or somewhat,support,Dems. take House,Unfavorable,Unfavorable,agree,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,<60% Trump,50 to 85 percent,Cell,0.8889,0.7711,1.1288,1.399,1.19
Rep,65 and older,Some college or trade school,Unknown,Female,White,support,Approve,Support,Not or not very,Don't know,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,Polk,50 to 85 percent,Cell,1,0.828,1.0455,0.7786,1.0795
Dem,50 to 64,High school,White,Female,Other,oppose,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,White,Des Moines,85 percent or higher,Cell,1,0.8519,1.1702,0.9334,1.2067
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Polk,50 to 85 percent,Cell,1,0.7341,1.1656,0.8981,1.258
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Don't know,Very or somewhat,Don't know,Don't know,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,<60% Trump,50 to 85 percent,Cell,1,0.7439,0.883,0.8772,0.7155
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,Not or not very,support,Reps. keep House,Favorable,Favorable,agree,30 to 44,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Polk,50 to 85 percent,Cell,0.7778,0.5166,0.9472,1.3394,0.8037
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Polk,50 to 85 percent,Cell,1,0.7688,0.5735,0.4471,0.6144
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Female,Not very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Polk,Less than 50 percent,Cell,0.3333,0.4722,1.1962,1.4383,0.6174
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,>60% Trump,50 to 85 percent,Cell,1,0.6758,0.7449,0.8102,0.8149
Und,50 to 64,Bachelors' degree,White,Female,White,oppose,Don't know,Don't know,Not or not very,support,Don't know,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Polk,85 percent or higher,Cell,1,0.8986,1.0594,0.5097,1.091
