response,ager,educ,file_race,gender,race_eth,approve,BIRTHRIGHT,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,REVERSERACIS,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rural,85 percent or higher,Landline,1,0.927,0.7184,0.6091,0.7085,2018-10-31 22:54:52
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Support,Oppose,agree,Dems. take House,Don't know,Unfavorable,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Rural,50 to 85 percent,Landline,1,0.7722,0.8099,0.585,0.8373,2018-10-31 23:06:16
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Small Towns,Less than 50 percent,Cell,1,0.2728,0.8302,2.6063,1.0285,2018-10-31 23:07:37
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Support,Support,agree,Reps. keep House,Don't know,Favorable,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,White,Small Towns,Less than 50 percent,Cell,1,0.4509,1.5028,2.481,1.6732,2018-10-31 23:13:37
Rep,65 and older,High school,White,Female,White,Approve,Support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Small Towns,85 percent or higher,Landline,1,0.9324,1.0524,0.8676,1.0237,2018-10-31 23:23:32
Rep,35 to 49,Bachelors' degree,White,Male,Other,Approve,Support,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,agree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,White,Small Towns,85 percent or higher,Cell,1,0.9686,1.0043,0.6967,0.9868,2018-10-31 23:25:47
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,18 to 29,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Story,50 to 85 percent,Cell,1,0.5006,1.046,1.0142,1.1947,2018-10-31 23:52:53
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,agree,18 to 29,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",18 to 34,White,Story,50 to 85 percent,Cell,1,0.7947,0.7553,0.5935,0.7762,2018-10-31 23:55:35
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rural,85 percent or higher,Landline,1,0.9313,1.1002,0.5828,1.0846,2018-11-01 00:18:08
Rep,50 to 64,High school,White,Female,White,Approve,Support,Support,agree,Reps. keep House,Favorable,Unfavorable,agree,agree,45 to 64,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rural,50 to 85 percent,Landline,0.8889,0.7877,2.1945,1.7443,2.1059,2018-11-01 00:18:35
Dem,18 to 34,High school,White,Male,White,Disapp.,Support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",18 to 34,White,Story,50 to 85 percent,Cell,1,0.6529,1.1875,1.1768,1.2742,2018-11-01 00:23:23
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Support,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,disagree,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Dutch,50 to 85 percent,Cell,1,0.6772,0.847,0.9898,0.8748,2018-11-01 00:34:39
