response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,High school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,65 and older,High School Grad. or Less,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,White,Well-educ. Trump,85 percent or higher,Cell,1,0.8862,1.7124,1.3728,1.6119,2018-09-04 20:43:33
Rep,65 and older,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Reps. keep House,Don't know,Favorable,disagree,no,disagree,disagree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,White,Less educ. Trump,85 percent or higher,Cell,1,0.8582,1.3225,0.8431,1.3631,2018-09-04 20:58:48
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Don't know,agree,no,disagree,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9757,0.6684,0.5228,0.6951,2018-09-04 20:45:36
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9871,1.1497,0.6333,1.1955,2018-09-04 21:10:57
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Reps. keep House,Favorable,Favorable,agree,no,disagree,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.7168,0.8257,0.6869,0.8944,2018-09-04 21:14:51
Rep,35 to 49,Some college or trade school,Asian,Male,Asian,Don't know,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,30 to 44,Some College Educ.,Other,Male,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Nonwhite,Non-White,Less-educ. Clinton,Less than 50 percent,Cell,0.7778,0.3972,1.1091,2.5119,0.8458,2018-09-04 21:09:18
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Non-White,Well-educ. Clinton,85 percent or higher,Cell,0.8889,0.9074,0.7119,0.5007,0.7392,2018-09-04 21:28:18
Dem,18 to 34,Some college or trade school,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Don't know,agree,no,disagree,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Unknown,Less-educ. Clinton,50 to 85 percent,Cell,1,0.7403,0.4026,0.3428,0.4338,2018-09-04 21:21:06
Dem,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,support,agree,Reps. keep House,Favorable,Unfavorable,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9516,1.2404,0.8195,1.2919,2018-09-04 21:35:41
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,agree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Clinton,Less than 50 percent,Cell,0.8889,0.4193,0.6644,1.0663,0.7653,2018-09-04 21:39:44
