response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Less educ. Trump,50 to 85 percent,Cell,0.7778,0.7669,0.6532,0.4927,0.6628,2018-10-23 14:03:21
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Less-educ. Clinton,Less than 50 percent,Cell,1,0.1156,1.6997,8.8243,2.6771,2018-10-23 14:03:21
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.97,0.8949,0.5338,0.9052,2018-10-23 14:03:30
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Less educ. Trump,85 percent or higher,Cell,1,0.97,0.6968,0.3677,0.7048,2018-10-23 14:03:30
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.97,1.1027,0.6679,1.1238,2018-10-23 14:03:39
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9683,1.0058,0.7649,1.025,2018-10-23 14:03:39
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9127,1.2628,0.8678,1.294,2018-10-23 14:03:48
Rep,50 to 64,Bachelors' degree,Asian,Male,Asian,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,4-year College Grad.,Non-White,Less-educ. Clinton,50 to 85 percent,Cell,0.8889,0.515,1.6416,1.5646,1.6714,2018-10-23 14:03:48
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Less-educ. Clinton,Less than 50 percent,Cell,0.8889,0.4536,0.847,1.0527,0.8722,2018-10-23 14:03:57
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Unknown,Well-educ. Clinton,85 percent or higher,Landline,1,0.9321,0.8423,0.5114,0.8498,2018-10-23 14:03:57
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Well-educ. Clinton,Less than 50 percent,Cell,0.8889,0.3984,0.7591,1.6184,0.792,2018-10-23 14:04:15
Und,65 and older,Bachelors' degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.5968,1.8334,1.8545,2.0079,2018-10-23 14:04:15
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.9516,0.6078,0.3112,0.6202,2018-10-23 14:04:24
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Less educ. Trump,85 percent or higher,Cell,0,0.9225,0.8239,0.4772,0.7219,2018-10-23 14:04:33
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.8895,1.1604,0.7268,1.1928,2018-10-23 14:04:33
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Less educ. Trump,Less than 50 percent,Cell,0.2222,0.4698,0.5988,1.0022,0.3414,2018-10-23 14:04:33
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.97,1.474,0.9011,1.5021,2018-10-23 14:04:42
Dem,35 to 49,[DO NOT READ] Refused,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,[DO NOT READ] Don't know/Refused,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.7398,1.2631,1.2045,1.3336,2018-10-23 14:04:42
Rep,18 to 34,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9282,0.7524,0.6589,0.7591,2018-10-23 14:04:51
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Non-White,Less educ. Trump,Less than 50 percent,Cell,0.7778,0.2927,0.6438,1.7316,0.5188,2018-10-23 14:04:51
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.8995,0.9486,0.584,0.9569,2018-10-23 14:05:00
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,0.8663,0.4961,0.8828,2018-10-23 14:05:00
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Dems. take House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,0.9258,0.5322,0.9435,2018-10-23 14:05:00
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,Unknown,Less-educ. Clinton,50 to 85 percent,Landline,0.7778,0.8235,0.7037,0.5104,0.6876,2018-10-23 14:05:00
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6484,1.0213,0.9677,1.1022,2018-10-23 14:05:09
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9484,0.9814,0.5523,1.0017,2018-10-23 14:05:09
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9164,0.9701,0.814,0.9936,2018-10-23 14:05:09
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.97,0.7246,0.3985,0.7384,2018-10-23 14:05:09
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.8801,0.7696,0.5195,0.8029,2018-10-23 14:05:09
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.97,1.3987,0.8773,1.4254,2018-10-23 14:05:18
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Less educ. Trump,85 percent or higher,Cell,1,0.9177,0.8239,0.4797,0.8437,2018-10-23 14:05:27
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.8819,0.9998,0.8502,1.0288,2018-10-23 14:05:27
