response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Favorable,disagree,no,disagree,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,St. Clair,White,85 percent or higher,Landline,0.8889,0.9142,0.6954,0.3,0.7144
Rep,65 and older,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Cell,0.8889,0.8276,0.7262,0.386,0.752
Und,35 to 49,Some college or trade school,Black,Male,Black,Approve,oppose,disagree,Don't know,Unfavorable,Unfavorable,agree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,St. Clair,Black,85 percent or higher,Cell,1,0.8825,1.6057,1.1433,1.6693
Dem,50 to 64,High school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,yes,disagree,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Madison,White,50 to 85 percent,Cell,1,0.7141,2.0738,1.4319,2.2251
Und,65 and older,High school,White,Female,White,Disapp.,Don't know,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Madison,White,85 percent or higher,Landline,1,0.9492,1.2186,0.7918,1.2567
Rep,35 to 49,Bachelors' degree,White,Female,White,Don't know,support,disagree,Don't know,Don't know,Favorable,disagree,no,agree,disagree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,White,50 to 85 percent,Cell,1,0.8269,0.8296,0.4194,0.8702
Rep,50 to 64,High school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,Don't know,no,disagree,disagree,45 to 64,High School Grad. or Less,Republican,Female,Not very likely,Republican,"White, No 4-Year College Degree",White,Madison,White,50 to 85 percent,Cell,0,0.666,1.9561,2.207,0.9262
Rep,65 and older,High school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Cell,0.8889,0.6116,1.3989,1.2535,1.4212
Und,18 to 34,Some college or trade school,Unknown,Female,Black,Disapp.,support,disagree,Reps. keep House,Don't know,Don't know,disagree,yes,disagree,disagree,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,Rest,Unknown,Less than 50 percent,Cell,0.5556,0.2407,0.7375,2.3621,0.5012
Rep,65 and older,Some college or trade school,White,Male,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.8746,0.6916,0.3185,0.7199
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,support,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,Unknown,85 percent or higher,Cell,1,0.9714,0.5521,0.1723,0.5684
Dem,65 and older,Some college or trade school,Asian,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Not very likely,Democrat,"White, No 4-Year College Degree",White,Rest,Other Non-White,50 to 85 percent,Landline,0.5556,0.6166,0.5916,0.3313,0.3939
Dem,65 and older,High school,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,no,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,St. Clair,White,85 percent or higher,Cell,1,0.9277,1.4965,0.7357,1.5466
Rep,18 to 34,Some college or trade school,Unknown,Female,Black,Disapp.,support,disagree,Dems. take House,Unfavorable,Favorable,agree,no,disagree,agree,18 to 29,Some College Educ.,Other,Female,Not very likely,Democrat,Nonwhite,Nonwhite,Rest,Unknown,Less than 50 percent,Cell,0.4444,0.2356,0.7375,2.4132,0.3552
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,St. Clair,White,50 to 85 percent,Landline,1,0.8214,1.1965,0.57,1.2562
Rep,65 and older,High school,Unknown,Male,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,disagree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,Unknown,85 percent or higher,Cell,1,0.968,0.7245,0.3129,0.7461
