response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Rest,18 to 34,White,85 percent or higher,Cell,0.7778,0.8912,1.0301,0.4823,1.0044,2018-10-18 22:45:40
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Madison,65 and older,Unknown,85 percent or higher,Landline,1,0.9568,0.7733,0.4095,0.7813,2018-10-18 22:50:55
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Madison,35 to 49,White,85 percent or higher,Cell,1,0.9628,0.7059,0.3133,0.7128,2018-10-18 23:05:01
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.8594,0.6236,0.2972,0.6378,2018-10-18 23:06:40
Dem,50 to 64,High school,Unknown,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,Unknown,85 percent or higher,Landline,1,0.97,1.1976,0.617,1.2089,2018-10-18 23:10:43
Und,35 to 49,High school,Hispanic,Male,Hispanic,Approve,Don't know,Unfavorable,Unfavorable,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,Rest,35 to 49,Other Non-White,Less than 50 percent,Cell,0.8889,0.2146,0.9321,4.5657,1.1824,2018-10-18 23:18:56
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,18 to 34,White,85 percent or higher,Cell,1,0.945,1.0301,0.4548,1.0418,2018-10-18 23:21:29
Und,18 to 34,Some college or trade school,Black,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,St. Clair,18 to 34,Black,Less than 50 percent,Cell,0.7778,0.1539,1.1649,7.8795,1.2629,2018-10-18 23:25:59
Dem,65 and older,High school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,65 and older,White,85 percent or higher,Landline,1,0.97,1.6655,1.1072,1.6812,2018-10-18 23:30:11
Dem,[DO NOT READ] Refused,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Other Non-White,85 percent or higher,Landline,1,0.97,0.7226,0.5098,0.7331,2018-10-18 23:30:29
