response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,High school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,Rest,85 percent or higher,Cell,1,0.9437,1.2426,0.824,1.2642,2018-10-23 14:03:12
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7599,1.3641,1.1177,1.4177,2018-10-23 14:03:12
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Madison County,85 percent or higher,Cell,1,0.9364,0.7846,0.3898,0.7926,2018-10-23 14:03:12
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Cities,85 percent or higher,Cell,1,0.9156,1.0365,0.7184,1.0496,2018-10-23 14:03:21
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Non-White,Madison County,85 percent or higher,Cell,1,0.97,1.0936,0.8128,1.1017,2018-10-23 14:03:21
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Rest,50 to 85 percent,Cell,1,0.8347,1.5313,1.2722,1.5693,2018-10-23 14:03:30
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Rest,85 percent or higher,Cell,1,0.8867,0.6247,0.2821,0.635,2018-10-23 14:03:30
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Cities,85 percent or higher,Cell,1,0.8896,0.5754,0.2565,0.5846,2018-10-23 14:03:39
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9024,0.8204,0.5347,0.818,2018-10-23 14:03:48
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.97,0.7291,0.3373,0.7344,2018-10-23 14:04:06
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Already voted,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Champaign/Urbana,Less than 50 percent,Cell,1,0.415,1.2339,2.8107,1.5138,2018-10-23 14:04:24
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest,85 percent or higher,Cell,1,0.97,0.9848,0.682,0.9921,2018-10-23 14:04:42
Dem,35 to 49,Graduate or Professional Degree,White,Male,Other,Approve,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Somewhat likely,Independent (No party),Nonwhite,35 to 49,White,Cities,Less than 50 percent,Cell,1,0.2525,0.6022,1.4503,0.5625,2018-10-23 14:04:42
Und,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Non-White,Cities,50 to 85 percent,Cell,1,0.7702,0.8014,0.5281,0.8312,2018-10-23 14:04:51
Rep,65 and older,Some college or trade school,Unknown,Male,Hispanic,Approve,Don't know,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Unknown,Cities,50 to 85 percent,Cell,1,0.6804,0.9116,0.7076,0.9646,2018-10-23 14:05:00
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",18 to 34,White,Rest,Less than 50 percent,Cell,1,0.2288,0.906,2.4669,1.1979,2018-10-23 14:05:09
Dem,65 and older,Graduate or Professional Degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Non-White,Champaign/Urbana,85 percent or higher,Landline,1,0.97,1.1661,0.6248,1.1747,2018-10-23 14:05:18
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Champaign/Urbana,85 percent or higher,Cell,1,0.97,2.0701,1.4925,2.0853,2018-10-23 14:05:18
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Cities,50 to 85 percent,Cell,1,0.7829,0.7904,0.4569,0.8354,2018-10-23 14:05:27
Und,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",35 to 49,White,Madison County,50 to 85 percent,Cell,1,0.7442,1.2596,1.1661,1.2679,2018-10-23 14:05:27
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Champaign/Urbana,85 percent or higher,Landline,1,0.9045,1.1525,0.6282,1.1687,2018-10-23 14:05:27
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.97,0.6415,0.2902,0.6462,2018-10-23 14:05:27
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Landline,1,0.8863,0.7492,0.4409,0.7617,2018-10-23 14:05:36
Dem,65 and older,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,White,Madison County,85 percent or higher,Cell,1,0.9698,1.1953,0.7419,1.2042,2018-10-23 14:05:36
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Don't know,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.7787,0.7682,0.5069,0.7954,2018-10-23 14:05:45
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Champaign/Urbana,85 percent or higher,Cell,1,0.97,1.1037,0.5879,1.1036,2018-10-23 14:05:54
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Champaign/Urbana,85 percent or higher,Landline,1,0.97,1.2139,0.6385,1.2291,2018-10-23 14:05:54
Rep,65 and older,[DO NOT READ] Refused,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.97,0.8945,0.6739,0.9011,2018-10-23 14:05:54
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Cities,85 percent or higher,Landline,1,0.97,0.6224,0.2886,0.6269,2018-10-23 14:06:03
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",35 to 49,White,Cities,85 percent or higher,Cell,1,0.9651,0.6746,0.3259,0.6798,2018-10-23 14:06:03
Rep,50 to 64,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,50 to 64,Non-White,Champaign/Urbana,85 percent or higher,Cell,1,0.9555,1.026,0.5458,1.0245,2018-10-23 14:06:21
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,Madison County,50 to 85 percent,Cell,0.8889,0.5496,1.0956,1.1476,1.1702,2018-10-23 14:06:21
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.97,1.3095,0.8594,1.3192,2018-10-23 14:06:21
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Champaign/Urbana,85 percent or higher,Cell,1,0.97,1.3701,0.9181,1.3802,2018-10-23 14:06:30
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Cities,85 percent or higher,Cell,1,0.97,0.9791,0.514,0.9863,2018-10-23 14:06:39
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Madison County,50 to 85 percent,Cell,1,0.5012,0.8205,0.7369,0.9175,2018-10-23 14:06:39
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Cities,50 to 85 percent,Cell,1,0.7905,0.757,0.4541,0.782,2018-10-23 14:06:48
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.5915,1.259,1.23,1.3651,2018-10-23 14:06:48
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,Cities,85 percent or higher,Cell,1,0.9457,0.6396,0.3046,0.6455,2018-10-23 14:06:57
Dem,18 to 34,High school,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Cities,85 percent or higher,Cell,1,0.8778,1.7295,1.6346,1.7252,2018-10-23 14:07:06
Rep,65 and older,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,65 and older,White,Madison County,50 to 85 percent,Landline,1,0.5329,1.2452,1.3755,1.3763,2018-10-23 14:07:15
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Non-White,Rest,50 to 85 percent,Cell,1,0.5022,1.0587,1.0078,1.1098,2018-10-23 14:07:15
Und,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,or as a member of another political party,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.8033,1.0638,0.7055,1.1182,2018-10-23 14:07:15
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Cities,85 percent or higher,Landline,1,0.97,0.9376,0.5158,0.9445,2018-10-23 14:07:15
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.97,0.9736,0.576,0.9857,2018-10-23 14:07:24
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Cities,Less than 50 percent,Cell,1,0.4083,0.6123,0.7939,0.6597,2018-10-23 14:07:24
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.97,0.8566,0.4956,0.863,2018-10-23 14:07:24
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9593,0.8566,0.5012,0.8373,2018-10-23 14:07:42
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,Asian,Disapp.,Dems. take House,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Unknown,Madison County,85 percent or higher,Cell,1,0.9372,0.8937,0.4981,0.9028,2018-10-23 14:08:00
Dem,50 to 64,High school,White,Female,White,Approve,Dems. take House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Cell,1,0.4324,1.0215,1.7187,1.1759,2018-10-23 14:08:18
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8349,1.3146,0.8682,1.3707,2018-10-23 14:08:18
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Cities,Less than 50 percent,Cell,0.4444,0.4844,0.6858,0.9366,0.4573,2018-10-23 14:08:27
Und,65 and older,Grade school,White,Female,White,Approve,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Cities,Less than 50 percent,Cell,1,0.4354,1.0693,1.8097,1.296,2018-10-23 14:08:36
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Not at all likely,Independent (No party),[DO NOT READ] Don't know/Refused,35 to 49,Unknown,Rest,Less than 50 percent,Cell,0.4444,0.2979,0.6204,1.2572,0.2413,2018-10-23 14:08:45
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Landline,1,0.7648,1.2002,0.9554,1.2462,2018-10-23 14:08:45
