response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9091,0.6817,0.4371,0.6994
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Unknown,Will/DuPage/Lake,85 percent or higher,Landline,1,0.9738,1.5912,0.8729,1.6226
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,disagree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Will/DuPage/Lake,85 percent or higher,Landline,1,0.876,1.0086,0.6494,1.0186
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Will/DuPage/Lake,85 percent or higher,Landline,1,0.9853,0.9987,0.6501,1.0136
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9222,1.0466,0.7619,1.072
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Rest,50 to 85 percent,Cell,0.8889,0.752,0.7632,0.3594,0.791
Rep,50 to 64,Bachelors' degree,White,Male,Black,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,White,Rest,Less than 50 percent,Cell,1,0.3161,1.3812,2.1374,1.7192
Dem,18 to 34,Some college or trade school,White,Female,White,support,Disapp.,Check,oppose,Reps. keep House,Don't know,Don't know,Do not believe,agree,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Rest,Less than 50 percent,Cell,0.4444,0.3564,1.0259,3.0317,0.6542
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Check,support,Reps. keep House,Don't know,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9621,1.0318,0.526,1.0436
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9528,1.0086,0.5971,1.0298
Und,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Unfavorable,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Will/DuPage/Lake,50 to 85 percent,Cell,1,0.7071,1.0931,0.6926,1.1635
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Kane,85 percent or higher,Cell,1,0.9126,1.0974,0.6738,1.1078
Dem,50 to 64,Some college or trade school,White,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,White,Rest,85 percent or higher,Landline,1,0.9758,0.9194,0.5964,0.9314
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,support,Disapp.,Check,support,Reps. keep House,Unfavorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.8537,0.6415,0.4019,0.6634
Rep,65 and older,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.8285,1.056,0.8174,1.0968
Dem,65 and older,Some college or trade school,White,Male,White,Don't know,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.914,0.6973,0.3867,0.715
Dem,65 and older,High school,White,Female,White,support,Disapp.,Check,oppose,Dems. take House,Don't know,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Republican,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,0.4444,0.9636,0.9959,0.7276,0.9359
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9823,0.6817,0.4046,0.6949
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Kane,85 percent or higher,Cell,1,0.9662,0.7582,0.4224,0.7734
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Rest,85 percent or higher,Landline,1,0.9868,1.1585,0.5596,1.1762
Rep,50 to 64,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Kane,85 percent or higher,Cell,1,0.9275,1.4106,1.0077,1.444
Dem,18 to 34,High school,Unknown,Male,White,oppose,Approve,Check,support,Dems. take House,Favorable,Don't know,Don't know,agree,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,Unknown,Rest,50 to 85 percent,Cell,0.7778,0.5715,1.5701,2.7218,1.5294
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Rest,85 percent or higher,Cell,1,0.9153,1.0691,0.6564,1.0792
Dem,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Kane,50 to 85 percent,Landline,1,0.7512,0.7954,0.5102,0.8385
Rep,18 to 34,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,disagree,18 to 29,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Rest,50 to 85 percent,Cell,0.7778,0.8374,1.395,1.4215,1.4098
Dem,18 to 34,Graduate or Professional Degree,White,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,18 to 29,Postgraduate Degree,Democratic,Male,Not very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Will/DuPage/Lake,50 to 85 percent,Cell,1,0.6768,0.903,0.6904,0.7676
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Kane,85 percent or higher,Landline,1,0.9751,0.7703,0.3674,0.7803
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Will/DuPage/Lake,Less than 50 percent,Cell,0.7778,0.2614,1.1401,4.0455,1.1727
Rep,18 to 34,Some college or trade school,White,Male,Other,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Don't know,agree,18 to 29,Some College Educ.,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Will/DuPage/Lake,50 to 85 percent,Cell,0.8889,0.7076,1.0869,1.1509,1.0857
Dem,50 to 64,Some college or trade school,Unknown,Female,White,oppose,Disapp.,Check,support,Reps. keep House,Favorable,Don't know,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Unknown,Kane,85 percent or higher,Cell,1,0.9899,1.1388,0.7671,1.1572
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9881,1.0002,0.4098,1.0158
Dem,50 to 64,High school,White,Female,White,Don't know,Approve,Support,oppose,Don't know,Favorable,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8066,1.3591,1.121,1.4171
Und,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Cell,1,0.9803,0.7308,0.3955,0.745
Dem,18 to 34,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,18 to 29,Some College Educ.,Democratic,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Unknown,Will/DuPage/Lake,50 to 85 percent,Landline,0.2222,0.5447,1.2234,1.9534,0.6013
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Rest,50 to 85 percent,Cell,0.8889,0.5975,0.6491,0.5054,0.5766
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown,Rest,50 to 85 percent,Cell,1,0.5182,1.2142,1.0945,1.3659
Dem,65 and older,High school,White,Female,Hispanic,oppose,Disapp.,Don't know,support,Dems. take House,Favorable,Don't know,Believe,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,Nonwhite,65 and older,White,Kane,50 to 85 percent,Landline,1,0.8213,1.2547,0.8601,1.2705
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Rest,85 percent or higher,Cell,1,0.9707,0.8188,0.3359,0.835
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Unfavorable,Do not believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Kane,85 percent or higher,Landline,1,0.9901,0.8405,0.337,0.8541
Und,65 and older,Some college or trade school,White,Male,White,support,Don't know,Support,support,Reps. keep House,Don't know,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Cell,0.1111,0.9713,0.7308,0.3992,0.597
Rep,65 and older,Some college or trade school,Hispanic,Male,Hispanic,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,Non-White,Will/DuPage/Lake,85 percent or higher,Landline,1,0.9278,0.9353,0.8196,0.9574
Dem,35 to 49,Some college or trade school,White,Male,White,support,Disapp.,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,agree,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Rest,Less than 50 percent,Cell,0.7778,0.3873,0.8383,1.5692,0.6821
