response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9921,0.5337,0.2718,0.5405,2018-09-13 22:32:56
Dem,50 to 64,High school,White,Male,White,Oppose,disagree,Approve,support,Oppose,disagree,Reps. keep House,Favorable,Don't know,disagree,45 to 64,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest,50 to 85 percent,Landline,1,0.698,1.5019,0.9688,1.528,2018-09-13 22:33:14
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,disagree,Don't know,support,Don't know,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Central,Less than 50 percent,Cell,1,0.323,1.0671,2.2497,1.1968,2018-09-13 22:46:26
Dem,50 to 64,High school,Hispanic,Female,White,Support,disagree,Approve,support,Support,agree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Non-White,Central,50 to 85 percent,Cell,1,0.8466,1.922,1.6555,1.9764,2018-09-13 22:48:01
Dem,35 to 49,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Shawnee,50 to 85 percent,Cell,1,0.8002,1.3164,1.1399,1.3646,2018-09-13 22:50:16
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Central,85 percent or higher,Landline,1,0.9914,0.506,0.2757,0.5124,2018-09-13 22:54:28
Rep,50 to 64,Bachelors' degree,White,Female,Other,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8338,1.0222,0.4767,1.0534,2018-09-13 22:54:55
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9935,0.7031,0.3673,0.7122,2018-09-13 22:56:34
Dem,35 to 49,Some college or trade school,White,Male,White,Don't know,agree,Don't know,support,Support,Don't know,Reps. keep House,Don't know,Unfavorable,disagree,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Shawnee,Less than 50 percent,Cell,0.6667,0.4441,1.478,2.9486,1.1268,2018-09-13 22:57:19
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Cell,1,0.981,1.6123,0.8819,1.6324,2018-09-13 23:00:37
