response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Rest,85 percent or higher,Cell,1,0.9478,0.7356,0.2904,0.7338,2018-10-27 15:50:18
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Douglas,85 percent or higher,Cell,1,0.97,1.2052,0.706,1.1914,2018-10-27 15:50:45
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Cell,1,0.97,0.838,0.3939,0.8346,2018-10-27 15:59:36
Dem,65 and older,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,Non-White,Central,85 percent or higher,Landline,1,0.9346,1.3128,0.7923,1.3229,2018-10-27 16:02:16
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Douglas,85 percent or higher,Landline,1,0.97,0.9727,0.5066,0.9736,2018-10-27 16:05:43
Dem,50 to 64,Some college or trade school,White,Male,Other,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,50 to 64,White,Shawnee,85 percent or higher,Cell,1,0.8519,0.7455,0.7357,0.6979,2018-10-27 16:07:22
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Rest,Less than 50 percent,Cell,1,0.4295,0.8276,1.3599,0.9432,2018-10-27 16:20:51
Und,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Central,50 to 85 percent,Cell,1,0.7537,1.2729,0.8801,1.1716,2018-10-27 16:22:48
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Douglas,Less than 50 percent,Cell,1,0.3611,1.6222,2.8325,1.9163,2018-10-27 16:24:36
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Rest,50 to 85 percent,Cell,1,0.8482,1.2707,1.2571,1.2845,2018-10-27 16:25:57
