response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,Less than 50 percent,Cell,1,0.2974,1.0289,2.6592,1.1728,2018-09-20 21:02:38
Dem,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Dems. take House,Favorable,Favorable,Oppose,Oppose,Support,agree,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,or as a member of another political party,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,Less than 50 percent,Cell,0.4444,0.4833,1.0479,1.4759,0.7044,2018-09-20 21:06:23
Rep,18 to 34,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,18 to 29,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Well-educ. Trump,Less than 50 percent,Cell,0.8889,0.2668,0.8046,2.2723,0.9837,2018-09-20 21:08:47
Dem,18 to 34,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Support,disagree,18 to 29,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Well-educ. Trump,Less than 50 percent,Cell,1,0.4855,0.8172,1.2297,0.9274,2018-09-20 21:24:57
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.9307,0.8164,0.5035,0.8213,2018-09-20 21:43:30
Rep,18 to 34,Some college or trade school,Unknown,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,Unknown,Clinton Precinct,Less than 50 percent,Cell,0.8889,0.335,0.7779,1.5947,0.9108,2018-09-20 21:44:51
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,Less than 50 percent,Cell,1,0.4284,0.8273,1.4206,0.9624,2018-09-20 21:46:29
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Support,disagree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,50 to 85 percent,Cell,0.8889,0.543,0.7777,0.8791,0.8393,2018-09-20 21:52:38
Dem,50 to 64,Some college or trade school,Hispanic,Female,White,support,Disapp.,Don't know,Favorable,Unfavorable,Support,Oppose,Support,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Non-White,Kansas City,Less than 50 percent,Cell,1,0.1506,0.9257,3.9837,1.3631,2018-09-20 22:01:44
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,Support,Support,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.9985,1.1435,0.6484,1.1634,2018-09-20 22:13:26
