response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Don't know,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,0.7778,0.9048,0.5842,0.2801,0.5742
Dem,65 and older,High school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Kansas City,Less than 50 percent,Landline,1,0.4796,2.2034,4.8611,2.0275
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Less-educ. Trump,85 percent or higher,Landline,1,0.965,0.5167,0.255,0.5248
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.896,1.6246,1.622,1.6329
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Less-educ. Trump,85 percent or higher,Landline,1,0.9559,1.4877,1.2852,1.512
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.7184,0.4502,0.7297
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.965,0.5842,0.2627,0.5934
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.774,0.52,0.7861
Und,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,50 to 85 percent,Landline,0.2222,0.7054,1.5918,1.164,1.0724
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.6284,0.3873,0.633
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.965,0.716,0.3666,0.7273
Rep,65 and older,Bachelors' degree,White,Female,White,Disapp.,Don't know,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.8983,0.4579,0.9124
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,50 to 85 percent,Landline,1,0.8393,1.2401,0.7628,1.28
Und,[DO NOT READ] Refused,Grade school,Black,Female,Black,Approve,Dems. take House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,65 and older,Non-White,Kansas City,85 percent or higher,Landline,1,0.9383,1.6819,1.9986,1.6912
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.737,0.4085,0.7424
