response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Republican,Nonwhite,Nonwhite,Inner Bluegrass,40 to 64,White,85 percent or higher,Landline,1,0.9833,0.7817,0.3502,0.7894,2018-11-01 21:45:02
Rep,18 to 34,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,18 to 39,White,85 percent or higher,Cell,1,0.8983,1.293,0.6407,1.3225,2018-11-01 21:51:20
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,White,85 percent or higher,Cell,1,0.9942,0.8825,0.3567,0.8962,2018-11-01 21:51:29
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.9699,0.8054,0.4556,0.8177,2018-11-01 21:52:23
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,40 to 64,White,85 percent or higher,Cell,1,0.9442,0.7314,0.4109,0.7441,2018-11-01 21:54:20
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,18 to 39,White,85 percent or higher,Cell,1,0.9773,0.9073,0.4392,0.9209,2018-11-01 21:55:50
Dem,18 to 34,High school,White,Male,Hispanic,Disapp.,Don't know,Favorable,Favorable,18 to 29,High School Grad. or Less,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,Rest,18 to 39,White,Less than 50 percent,Cell,0.4444,0.3627,1.3235,2.8805,0.8423,2018-11-01 22:00:47
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,White,Less than 50 percent,Landline,1,0.3054,0.8559,1.5344,0.9707,2018-11-01 22:02:08
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,40 to 64,White,85 percent or higher,Cell,1,0.9908,1.0574,0.5302,1.0735,2018-11-01 22:02:26
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Fayette,65 and older,White,85 percent or higher,Landline,1,0.8578,0.9479,0.4852,0.9754,2018-11-01 22:04:59
Rep,18 to 34,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Fayette,18 to 39,Unknown,85 percent or higher,Landline,1,0.9623,1.2845,1.0499,1.2933,2018-11-01 22:06:02
Und,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,White,85 percent or higher,Landline,1,0.9897,0.8825,0.3583,0.898,2018-11-01 22:06:56
Dem,65 and older,High school,White,Female,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,Rest,65 and older,White,50 to 85 percent,Cell,1,0.7385,1.1396,0.8406,1.2294,2018-11-01 22:07:32
Rep,35 to 49,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,Rest,40 to 64,White,Less than 50 percent,Landline,1,0.1727,0.7137,3.3116,0.8928,2018-11-01 22:08:53
Dem,18 to 34,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Fayette,18 to 39,White,50 to 85 percent,Cell,1,0.8395,1.1837,0.7129,1.2216,2018-11-01 22:13:23
Und,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,18 to 39,White,50 to 85 percent,Landline,1,0.7292,0.999,0.8674,1.0533,2018-11-01 22:13:23
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9878,0.746,0.4219,0.7572,2018-11-01 22:14:08
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,Unknown,85 percent or higher,Landline,1,0.9741,0.7031,0.5185,0.7137,2018-11-01 22:17:01
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,65 and older,White,85 percent or higher,Cell,1,0.9859,0.9933,0.3488,1.0081,2018-11-01 22:17:55
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,18 to 39,White,85 percent or higher,Cell,1,0.9438,1.1801,0.76,1.1867,2018-11-01 22:19:52
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,White,50 to 85 percent,Landline,1,0.6764,1.4244,1.1325,1.5205,2018-11-01 22:23:01
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.9517,0.7538,0.3177,0.7663,2018-11-01 22:23:28
Rep,65 and older,High school,White,Male,White,Approve,Don't know,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.8645,1.2447,0.6906,1.252,2018-11-01 22:25:16
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.8885,1.2447,0.6718,1.2511,2018-11-01 22:25:34
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,40 to 64,White,85 percent or higher,Landline,1,0.9335,0.7762,0.6046,0.7905,2018-11-01 22:25:43
Rep,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,Fayette,40 to 64,Other Non-White,50 to 85 percent,Cell,1,0.6901,1.3289,1.2408,1.3566,2018-11-01 22:27:39
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,White,85 percent or higher,Cell,1,0.9849,0.7741,0.3313,0.7856,2018-11-01 22:28:43
