response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.9243,0.9936,0.7041,1.0262,2018-09-12 19:49:14
Dem,50 to 64,High school,White,Male,White,Support,disagree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Favorable,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.994,1.3449,1.068,1.3836,2018-09-12 20:08:39
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Don't know,agree,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.9949,0.7663,0.4985,0.7885,2018-09-12 20:19:33
Rep,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Oppose,agree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,Unknown/Non-White,South/Central,85 percent or higher,Cell,1,0.8867,1.6015,1.0505,1.6622,2018-09-12 20:32:23
Rep,35 to 49,[DO NOT READ] Refused,White,Female,White,Support,agree,Disapp.,support,Support,agree,Dems. take House,Unfavorable,Unfavorable,agree,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,0,0.9984,1.0104,0.9191,1.0324,2018-09-12 20:43:20
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9751,1.0938,0.9096,1.1248,2018-09-12 20:43:47
Rep,35 to 49,High school,White,Female,White,Support,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Unfavorable,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,South/Central,Less than 50 percent,Cell,1,0.4007,2.0595,4.4253,2.4585,2018-09-12 20:52:40
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,agree,Approve,support,Support,disagree,Don't know,Unfavorable,Unfavorable,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.9729,0.8323,0.4755,0.8559,2018-09-12 21:04:56
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Oppose,agree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,North,50 to 85 percent,Cell,1,0.7887,1.044,0.7686,1.1015,2018-09-12 21:05:14
Dem,35 to 49,Grade school,White,Male,White,Oppose,disagree,Don't know,oppose,Support,agree,Reps. keep House,Don't know,Unfavorable,agree,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,South/Central,85 percent or higher,Cell,0.7778,0.9093,1.4088,1.0497,1.4333,2018-09-12 21:05:50
Und,50 to 64,High school,White,Male,White,Oppose,disagree,Approve,support,Oppose,agree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.9952,1.1085,0.7955,1.1406,2018-09-12 21:05:50
Und,65 and older,High school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.9001,1.4041,1.4326,1.4546,2018-09-12 21:05:59
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.968,1.2019,1.2783,1.2364,2018-09-12 21:11:23
