response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,SCAPP,SCKAV,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,50 to 85 percent,Cell,1,0.7936,1.0002,0.7372,1.0391,2018-10-15 20:34:18
Rep,[DO NOT READ] Refused,Grade school,White,Male,Hispanic,Approve,Dems. take House,Favorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Democrat,Nonwhite,Nonwhite,40 to 64,White,North,85 percent or higher,Landline,0,0.9523,1.4442,1.2881,1.3529,2018-10-15 20:41:39
Dem,50 to 64,Some college or trade school,White,Male,Other,Disapp.,Don't know,Favorable,Unfavorable,Disapp.,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,40 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.965,0.7874,0.5516,0.7984,2018-10-15 20:42:51
Dem,35 to 49,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,Disapp.,disagree,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,40 to 64,White,North,Less than 50 percent,Cell,1,0.2035,0.7884,2.9512,1.078,2018-10-15 20:43:27
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.8988,0.8099,0.5692,0.8126,2018-10-15 20:43:54
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Disapp.,agree,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,1.4598,1.2385,1.4803,2018-10-15 20:45:12
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.8764,0.7198,0.5165,0.73740000000000006,2018-10-15 20:46:09
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,0.7862,0.5626,0.7972,2018-10-15 20:47:39
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9295,0.6018,0.4536,0.6122,2018-10-15 20:48:15
Rep,50 to 64,High school,Unknown,Female,White,Approve,Dems. take House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,Unknown/Non-White,North,85 percent or higher,Landline,1,0.9299,1.3343,1.2446,1.3573,2018-10-15 20:48:24
