response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,KAVASST,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Support,support,Disapp.,Reps. keep House,Favorable,No,Don't know,Don't know,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Ingham,50 to 85 percent,Cell,1,0.7527,0.4336,0.2683,0.4486
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Support,Don't know,Disapp.,Reps. keep House,Unfavorable,No,Favorable,Don't know,Oppose,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Ingham,85 percent or higher,Landline,1,0.9931,0.563,0.3675,0.5638
Rep,18 to 34,High school,Unknown,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Do not believe,Oppose,30 to 44,High School Grad. or Less,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Unknown,Oakland,Less than 50 percent,Cell,0.7778,0.4117,2.2327,3.5323,1.7896
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Support,Don't know,Disapp.,Reps. keep House,Don't know,No,Don't know,Don't know,Oppose,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Oakland,85 percent or higher,Cell,1,0.9427,0.7497,0.5547,0.7522
Dem,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Believe,Support,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Livingston,Less than 50 percent,Cell,1,0.4292,0.4922,0.9803,0.564
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Do not believe,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Oakland,85 percent or higher,Cell,1,0.9312,0.7338,0.3767,0.7372
Dem,18 to 34,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Believe,Support,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Livingston,Less than 50 percent,Landline,1,0.356,1.0397,2.2889,1.1358
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Support,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Ingham,85 percent or higher,Cell,1,0.9964,0.6642,0.3187,0.6643
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,Oppose,oppose,Disapp.,Dems. take House,Don't know,Don't know,Favorable,Don't know,Support,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Non-White,Ingham,85 percent or higher,Cell,1,0.916,0.5699,0.2622,0.5735
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Don't know,Do not believe,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Ingham,85 percent or higher,Cell,1,0.9346,0.8202,0.3267,0.8237
