response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,35 to 49,White,Ingham,85 percent or higher,Cell,1,0.97,0.7015,0.4548,0.7139,2018-10-31 21:31:25
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Ingham,85 percent or higher,Landline,1,0.97,0.8017,0.6004,0.8199,2018-10-31 21:40:01
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Livingston,85 percent or higher,Landline,1,0.9593,0.7991,0.6696,0.8189,2018-10-31 21:43:01
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",White,35 to 49,Unknown,Oakland,85 percent or higher,Cell,0.8889,0.9677,0.9557,0.5254,0.9604,2018-10-31 21:43:37
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,4-year College Grad.,Republican,Male,Already voted,or as a member of another political party,"White, 4-Year College Grads",White,35 to 49,White,Livingston,85 percent or higher,Cell,1,0.97,0.8873,0.6266,0.9075,2018-10-31 21:59:22
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Oakland,85 percent or higher,Cell,1,0.97,0.8608,0.554,0.8694,2018-10-31 22:02:16
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Oakland,85 percent or higher,Cell,1,0.9337,0.8747,0.5017,0.8929,2018-10-31 22:02:52
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Livingston,85 percent or higher,Cell,1,0.9488,0.9689,0.8074,0.9875,2018-10-31 22:04:31
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Oakland,Less than 50 percent,Cell,1,0.4651,1.7855,2.641,1.9093,2018-10-31 22:07:04
Dem,18 to 34,Some college or trade school,Other,Male,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,Non-White,Ingham,Less than 50 percent,Cell,0.4444,0.4236,1.4358,2.6927,0.9403,2018-10-31 22:12:46
