response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,65 and older,Some college or trade school,White,Male,White,oppose,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Wayne, Clinton",50 to 85 percent,Landline,1,0.6613,1.2595,0.9376,1.3425,2018-10-01 21:55:56
Und,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,"Oakland, Clinton",Less than 50 percent,Landline,1,0.2089,0.6023,1.987,0.7243,2018-10-01 22:05:38
Dem,35 to 49,Some college or trade school,Other,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,Other Non-White,"Wayne, Clinton",85 percent or higher,Cell,1,0.989,1.355,0.9812,1.3681,2018-10-01 22:06:59
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Oakland, Trump",50 to 85 percent,Cell,1,0.8348,0.9209,0.6817,0.9461,2018-10-01 22:07:17
Und,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Oakland, Trump",50 to 85 percent,Landline,0.8889,0.824,0.6869,0.5621,0.6775,2018-10-01 22:10:35
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,"Oakland, Clinton",50 to 85 percent,Landline,1,0.8283,0.8457,0.5366,0.8698,2018-10-01 22:11:29
Rep,50 to 64,Some college or trade school,Unknown,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Unknown,"Oakland, Trump",50 to 85 percent,Landline,1,0.7555,1.6552,1.5748,1.7262,2018-10-01 22:13:53
Dem,65 and older,High school,White,Female,White,support,Disapp.,Support,oppose,Reps. keep House,Favorable,Don't know,Do not believe,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Wayne, Trump",Less than 50 percent,Cell,1,0.0886,1.2952,6.3333,2.1582,2018-10-01 22:14:47
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Other Non-White,"Oakland, Clinton",85 percent or higher,Landline,1,0.9426,0.6415,0.465,0.6492,2018-10-01 22:21:06
Dem,35 to 49,Some college or trade school,White,Female,White,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,30 to 44,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",35 to 49,White,"Wayne, Trump",Less than 50 percent,Cell,1,0.12,0.616,2.667,0.8211,2018-10-01 22:22:07
Und,18 to 34,Some college or trade school,White,Male,White,support,Don't know,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,agree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 34,White,"Oakland, Trump",Less than 50 percent,Landline,0.5556,0.4987,0.7789,1.0707,0.5627,2018-10-01 22:23:12
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Don't know,Approve,Check,oppose,Don't know,Don't know,Unfavorable,Don't know,disagree,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,"Oakland, Trump",Less than 50 percent,Cell,0.8889,0.2551,0.4362,1.0596,0.4762,2018-10-01 22:26:19
Dem,35 to 49,High school,White,Male,White,Don't know,Disapp.,Check,Don't know,Don't know,Favorable,Unfavorable,Believe,Don't know,30 to 44,High School Grad. or Less,Other,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",35 to 49,White,"Wayne, Trump",50 to 85 percent,Landline,0.7778,0.8093,2.3102,2.5257,2.3156,2018-10-01 22:32:21
Rep,65 and older,Bachelors' degree,White,Male,White,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,"Oakland, Trump",85 percent or higher,Landline,1,0.9821,1.1902,0.7282,1.2016,2018-10-01 22:32:55
Und,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Oakland, Clinton",85 percent or higher,Landline,1,0.9327,0.6024,0.4194,0.6103,2018-10-01 22:32:55
Dem,65 and older,Graduate or Professional Degree,Other,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Other Non-White,"Oakland, Clinton",85 percent or higher,Landline,1,0.9968,0.6645,0.3586,0.6715,2018-10-01 22:34:45
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Oakland, Trump",85 percent or higher,Landline,0.5556,0.8777,1.2554,0.8583,1.1813,2018-10-01 22:38:42
Rep,35 to 49,Graduate or Professional Degree,White,Male,Other,Don't know,Approve,Support,oppose,Reps. keep House,Unfavorable,Unfavorable,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,White,"Oakland, Trump",50 to 85 percent,Cell,1,0.7851,0.6869,0.59,0.7121,2018-10-01 22:41:15
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Oakland, Clinton",85 percent or higher,Landline,1,0.9825,1.1143,0.6411,1.125,2018-10-01 22:43:09
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,support,Disapp.,Check,oppose,Dems. take House,Don't know,Unfavorable,Don't know,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Oakland, Clinton",85 percent or higher,Cell,1,0.9058,0.6549,0.4781,0.6657,2018-10-01 22:44:51
Und,[DO NOT READ] Refused,High school,White,Male,Black,Don't know,Disapp.,Check,support,Don't know,Don't know,Don't know,Don't know,agree,18 to 29,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),Nonwhite,18 to 34,White,"Wayne, Trump",50 to 85 percent,Cell,0.3333,0.5089,2.2928,3.3542,1.1825,2018-10-01 22:50:08
Und,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Wayne, Trump",85 percent or higher,Cell,1,0.9938,0.5229,0.2769,0.5268,2018-10-01 22:55:59
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Wayne, Trump",85 percent or higher,Landline,1,0.9953,0.5229,0.2764,0.5283,2018-10-01 23:00:28
Dem,18 to 34,Bachelors' degree,White,Female,White,support,Approve,Check,support,Reps. keep House,Don't know,Unfavorable,Don't know,disagree,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,"Wayne, Clinton",Less than 50 percent,Cell,0.6667,0.1596,0.6559,2.4288,0.4803,2018-10-01 23:03:01
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,"Oakland, Clinton",85 percent or higher,Cell,1,0.9977,0.5913,0.3684,0.5978,2018-10-01 23:08:52
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Wayne, Trump",85 percent or higher,Cell,1,0.9882,1.1648,0.5849,1.176,2018-10-01 23:10:49
Dem,18 to 34,Graduate or Professional Degree,Asian,Female,Asian,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Believe,agree,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,18 to 34,Other Non-White,"Wayne, Trump",50 to 85 percent,Cell,1,0.6735,0.6257,0.43,0.6649,2018-10-01 23:12:46
