response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,High school,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9448,1.429,1.3635,1.4775,2018-09-10 20:18:48
Dem,50 to 64,High school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,yes,disagree,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Probably Clinton,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.8468,1.246,1.4153,1.3054,2018-09-10 20:25:06
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Unfavorable,disagree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.9129,1.363,1.2842,1.3922,2018-09-10 20:19:06
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9955,0.7038,0.6207,0.7266,2018-09-10 20:22:24
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Favorable,agree,no,agree,disagree,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Maybe Trump,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9962,0.6923,0.4886,0.7135,2018-09-10 20:30:39
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,no,disagree,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Trump,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.9482,1.0993,0.8128,1.1362,2018-09-10 20:21:03
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,disagree,yes,agree,agree,65 and older,Some College Educ.,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Less educ. Trump,50 to 85 percent,Landline,0.7778,0.8345,0.9867,0.9989,0.9086,2018-09-10 20:21:21
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,support,agree,Dems. take House,Don't know,Unfavorable,agree,no,agree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.974,0.8735,0.6426,0.9012,2018-09-10 20:28:06
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,Don't know,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9809,1.2638,1.0803,1.3037,2018-09-10 20:27:30
Dem,65 and older,High school,White,Female,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9739,1.2081,1.1855,1.2464,2018-09-10 20:29:36
