response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_party_model,file_race_white,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,50 to 64,High school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,disagree,no,agree,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,Most Trump,White,85 percent or higher,Landline,1,0.9655,1.5073,1.3509,1.5298,2018-09-10 20:31:24
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Iron Range,50 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.9941,1.058,0.7352,1.0826,2018-09-10 20:18:30
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,disagree,yes,agree,agree,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9185,0.9421,0.8808,0.954,2018-09-10 20:31:33
Und,65 and older,High school,White,Male,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,agree,no,agree,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,50 to 85 percent,Cell,1,0.5891,1.1143,1.4029,1.2279,2018-09-10 20:27:03
Und,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,Most Trump,White,85 percent or higher,Landline,1,0.9038,0.9254,0.7058,0.953,2018-09-10 20:19:51
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Not very likely,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,Most Trump,White,85 percent or higher,Landline,1,0.9807,1.0028,0.8381,0.9929,2018-09-10 20:20:27
Rep,65 and older,High school,White,Female,White,Don't know,oppose,agree,Reps. keep House,Don't know,Favorable,agree,yes,agree,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9864,1.1532,0.9705,1.1794,2018-09-10 20:24:57
Dem,65 and older,High school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,agree,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9942,1.3757,1.1689,1.4077,2018-09-10 20:26:18
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Duluth,50 to 64,Probably Clinton,White,85 percent or higher,Landline,1,0.9835,1.2286,1.0317,1.2565,2018-09-10 20:25:42
Rep,65 and older,High school,White,Female,White,Approve,support,disagree,Don't know,Don't know,Favorable,agree,yes,Don't know,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9701,1.3757,1.1979,1.3969,2018-09-10 20:31:06
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Don't know,agree,yes,disagree,agree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,35 to 49,Unknown,White,85 percent or higher,Landline,0.8889,0.8903,0.7977,0.6927,0.8156,2018-09-10 20:22:06
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,agree,no,agree,agree,45 to 64,4-year College Grad.,Republican,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,Minn. Exurbs,50 to 64,Most Trump,White,85 percent or higher,Landline,0.6667,0.8555,1.2629,0.94,1.1329,2018-09-10 20:28:15
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,agree,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,White,85 percent or higher,Landline,1,0.8775,0.7897,0.7595,0.8163,2018-09-10 20:28:51
Rep,18 to 34,Some college or trade school,White,Male,White,Disapp.,oppose,agree,Don't know,Don't know,Favorable,disagree,yes,agree,disagree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,18 to 34,Probably Trump,White,50 to 85 percent,Cell,0.5556,0.7668,1.0432,1.1436,0.8618,2018-09-10 20:20:00
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,no,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,Most Trump,White,85 percent or higher,Landline,1,0.8854,1.0028,0.9282,1.0354,2018-09-10 20:23:45
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,oppose,Don't know,Dems. take House,Don't know,Don't know,agree,no,agree,agree,45 to 64,Some College Educ.,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",White,Minn. Exurbs,50 to 64,Unknown,White,50 to 85 percent,Landline,0.6667,0.805,0.8664,0.8336,0.726,2018-09-10 20:31:15
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9972,0.6849,0.4466,0.7013,2018-09-10 20:24:12
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,oppose,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Duluth,35 to 49,Probably Clinton,Non-White,50 to 85 percent,Cell,1,0.6842,0.7169,0.7937,0.7697,2018-09-10 20:24:48
Rep,65 and older,High school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.9013,1.3915,1.3199,1.4336,2018-09-10 20:22:51
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,50 to 64,Most Trump,White,85 percent or higher,Landline,1,0.9939,0.8991,0.5808,0.92,2018-09-10 20:29:18
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,no,disagree,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Minn. Exurbs,50 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.9894,1.2103,0.7671,1.238,2018-09-10 20:26:27
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,Most Trump,White,50 to 85 percent,Landline,1,0.5316,0.8634,1.3566,0.9128,2018-09-10 20:29:27
Rep,65 and older,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,85 percent or higher,Landline,1,0.8813,0.9757,0.8731,1.008,2018-09-10 20:30:21
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Trump,Unknown,85 percent or higher,Landline,1,0.9883,1.1512,0.7433,1.1775,2018-09-10 20:19:24
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Unfavorable,Don't know,disagree,yes,disagree,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,18 to 34,Probably Clinton,White,50 to 85 percent,Cell,0.7778,0.7732,0.6669,0.6479,0.679,2018-09-10 20:23:36
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9942,0.9153,0.7366,0.9366,2018-09-10 20:19:15
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,disagree,yes,agree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Cell,1,0.9888,1,0.6264,1.0228,2018-09-10 20:29:18
