response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_party_model,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,18 to 39,Most Trump,Unknown/Non-White,Less than 50 percent,Cell,0.7778,0.419,1.1318,2.3888,0.9239,2018-10-11 21:39:15
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Most Trump,White,85 percent or higher,Cell,1,0.9391,1.3545,1.1864,1.3832,2018-10-11 21:53:43
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,18 to 39,Unknown,White,85 percent or higher,Cell,1,0.9253,1.5559,1.5676,1.5689,2018-10-11 22:01:49
Und,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Other,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,White,50 to 85 percent,Cell,0,0.6433,1.4277,1.809,0.5323,2018-10-11 22:24:55
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,40 to 64,Probably Clinton,Unknown/Non-White,85 percent or higher,Landline,1,0.965,0.6167,0.4468,0.6284,2018-10-11 22:33:54
Dem,35 to 49,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Duluth,40 to 64,Probably Clinton,White,85 percent or higher,Cell,1,0.9206,0.4125,0.3074,0.4221,2018-10-11 22:36:36
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.6083,0.4438,0.6199,2018-10-11 22:46:55
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,Probably Trump,White,50 to 85 percent,Cell,1,0.5602,1.2864,1.9406,1.346,2018-10-11 22:47:31
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,Most Trump,Unknown/Non-White,85 percent or higher,Landline,1,0.965,0.589,0.4152,0.6002,2018-10-11 22:48:16
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.965,0.3582,0.2252,0.365,2018-10-11 22:48:52
