response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Mecklenburg,50 to 64,White,50 to 85 percent,Cell,0.7778,0.6774,1.0682,0.6813,0.9947,2018-10-26 22:06:37
3,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Union,18 to 34,White,Less than 50 percent,Cell,1,0.4425,1.0534,2.2358,1.0889,2018-10-26 22:08:07
Und,[DO NOT READ] Refused,High school,White,Male,White,Don't know,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,0.4444,0.6986,0.9346,0.6654,0.7854,2018-10-26 22:13:40
Dem,35 to 49,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,Union,35 to 49,Black,50 to 85 percent,Cell,1,0.7169,0.609,0.5929,0.5964,2018-10-26 22:16:36
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9104,0.6636,0.4128,0.6419,2018-10-26 22:17:39
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,18 to 34,White,Less than 50 percent,Cell,1,0.2305,1.1638,5.8111,1.4901,2018-10-26 22:19:36
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.97,0.3962,0.1726,0.3891,2018-10-26 22:23:48
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,[DO NOT READ] Don't know/Refused,Independent (No party),"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.9323,0.978,0.5411,0.9038,2018-10-26 22:24:42
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Mecklenburg,50 to 64,White,Less than 50 percent,Cell,1,0.4601,0.783,0.8811,0.8636,2018-10-26 22:28:00
Rep,65 and older,Some college or trade school,Black,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",Rest,65 and older,Black,85 percent or higher,Cell,1,0.97,0.5752,0.4561,0.5649,2018-10-26 22:28:54
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.97,0.8124,0.4072,0.7939,2018-10-26 22:33:38
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Cell,1,0.8762,1.8528,1.2081,1.8296,2018-10-26 22:41:26
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Mecklenburg,35 to 49,White,Less than 50 percent,Cell,1,0.3627,1.7163,3.7534,1.9873,2018-10-26 22:41:35
Rep,18 to 34,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Mecklenburg,18 to 34,White,Less than 50 percent,Cell,1,0.213,1.944,7.3158,2.5352,2018-10-26 22:43:59
Dem,50 to 64,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Mecklenburg,50 to 64,White,50 to 85 percent,Cell,1,0.7774,1.0708,0.424,1.0757,2018-10-26 22:44:44
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,Less than 50 percent,Cell,0.4444,0.1306,1.4219,4.15,0.817,2018-10-26 22:45:20
Rep,35 to 49,Some college or trade school,White,Male,Black,Approve,Don't know,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,Rest,35 to 49,White,50 to 85 percent,Cell,1,0.8062,0.6865,0.4998,0.6995,2018-10-26 22:45:29
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.802,0.4883,0.242,0.4744,2018-10-26 22:51:11
Und,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Not very likely,or as a member of another political party,[DO NOT READ] Don't know/Refused,Mecklenburg,50 to 64,White,Less than 50 percent,Cell,0,0.1125,0.6202,1.8311,0.1651,2018-10-26 22:54:20
Und,65 and older,High school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",Union,65 and older,Unknown,Less than 50 percent,Cell,0,0.3676,1.6836,3.7631,0.709,2018-10-26 22:55:32
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.3663,0.1837,0.3598,2018-10-26 22:58:50
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9467,1.2615,0.5067,1.2348,2018-10-26 22:59:26
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,35 to 49,White,Less than 50 percent,Cell,1,0.2842,2.0855,6.4186,2.5463,2018-10-26 23:01:23
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9635,0.8151,0.426,0.8014,2018-10-26 23:05:35
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Rest,65 and older,White,Less than 50 percent,Landline,1,0.3935,0.5342,0.757,0.6444,2018-10-26 23:08:53
