response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Bachelors' degree,Asian,Female,White,support,Disapp.,Check,support,Dems. take House,Don't know,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Other Non-White,Rest,85 percent or higher,Landline,1,0.8711,0.8997,0.6148,0.9172,2018-10-03 21:38:37
Dem,35 to 49,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Do not believe,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,35 to 49,White,Guilford,50 to 85 percent,Landline,1,0.8197,0.5631,0.2739,0.579,2018-10-03 21:49:51
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Landline,1,0.6794,0.4061,0.2031,0.4122,2018-10-03 21:51:30
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.8962,0.6409,0.3387,0.6511,2018-10-03 21:54:21
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.873,0.5103,0.2436,0.5201,2018-10-03 22:00:03
Dem,65 and older,Some college or trade school,Black,Male,Black,oppose,Approve,Support,oppose,Dems. take House,Don't know,Don't know,Believe,agree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Black,Guilford,85 percent or higher,Landline,1,0.9774,0.7357,0.2077,0.7368,2018-10-03 22:01:51
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Unknown,Guilford,85 percent or higher,Cell,1,0.9087,1.0978,1.0767,1.1133,2018-10-03 22:05:23
Dem,18 to 34,Bachelors' degree,Black,Male,Black,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,Black,Guilford,Less than 50 percent,Cell,1,0.4418,1.1657,1.3148,1.337,2018-10-03 22:06:26
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7436,0.9194,0.4527,0.9594,2018-10-03 22:06:39
Rep,65 and older,Some college or trade school,Unknown,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Rest,Less than 50 percent,Cell,1,0.3851,1.2886,3.8631,1.52,2018-10-03 22:11:05
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Guilford,85 percent or higher,Cell,1,0.8972,0.5527,0.2683,0.5614,2018-10-03 22:14:14
Und,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Democratic,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Rest,Less than 50 percent,Cell,0,0.085,1.7927,9.8991,0.369,2018-10-03 22:18:39
Rep,50 to 64,High school,White,Male,White,support,Approve,Support,support,Don't know,Don't know,Favorable,Do not believe,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Guilford,50 to 85 percent,Landline,0.5556,0.5288,2.4669,2.9074,2.374,2018-10-03 22:22:42
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Guilford,85 percent or higher,Cell,1,0.962,0.891,0.4113,0.8986,2018-10-03 22:24:21
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9633,0.6409,0.3161,0.6463,2018-10-03 22:26:36
Rep,65 and older,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7946,1.7378,1.4221,1.795,2018-10-03 22:30:30
Rep,50 to 64,High school,White,Female,White,support,Approve,Support,support,Reps. keep House,Favorable,Favorable,Do not believe,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.8638,2.1526,1.9972,2.197,2018-10-03 22:33:04
Dem,50 to 64,Some college or trade school,Black,Female,Black,oppose,Don't know,Don't know,support,Dems. take House,Favorable,Don't know,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Black,Guilford,50 to 85 percent,Landline,1,0.8144,1.0181,0.42,1.0194,2018-10-03 22:34:53
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Black,Rest,85 percent or higher,Landline,1,0.9088,0.3999,0.1417,0.399,2018-10-03 22:35:01
Rep,65 and older,High school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.8816,1.6061,1.2328,1.6348,2018-10-03 22:39:22
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9755,0.674,0.2692,0.6748,2018-10-03 22:40:26
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9036,0.6409,0.336,0.6395,2018-10-03 22:42:22
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9577,0.674,0.2739,0.6799,2018-10-03 22:48:13
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Guilford,85 percent or higher,Landline,1,0.9861,1.6283,0.8677,1.6408,2018-10-03 22:48:26
Dem,18 to 34,High school,Black,Female,Black,oppose,Approve,Check,Don't know,Dems. take House,Unfavorable,Unfavorable,Don't know,agree,18 to 29,High School Grad. or Less,Democratic,Female,Somewhat likely,Independent (No party),Nonwhite,18 to 34,Black,Guilford,Less than 50 percent,Cell,0.4444,0.3101,2.7779,8.0114,1.7188,2018-10-03 22:59:14
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Guilford,85 percent or higher,Landline,1,0.8892,0.5072,0.2066,0.5157,2018-10-03 23:16:31
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown,Guilford,50 to 85 percent,Cell,1,0.7411,0.7916,0.7353,0.7976,2018-10-03 23:20:34
