response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,"Omaha, Trump",Less than 50 percent,Cell,1,0.1152,1.0479,4.6336,1.6536,2018-09-23 18:36:18
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Omaha, Trump",85 percent or higher,Cell,1,0.9949,0.8647,0.4927,0.8823,2018-09-23 18:49:56
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Support,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Clinton",50 to 85 percent,Cell,1,0.643,1.2021,0.9718,1.3003,2018-09-23 18:50:23
Rep,35 to 49,High school,White,Male,White,Support,Don't know,Approve,Reps. keep House,Unfavorable,No,Don't know,Oppose,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Rest of Douglas,50 to 85 percent,Cell,1,0.7505,1.7079,2.0052,1.7395,2018-09-23 18:55:02
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Sarpy,85 percent or higher,Cell,1,0.99,0.8623,0.4922,0.8793,2018-09-23 18:58:02
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Omaha, Trump",85 percent or higher,Cell,1,0.9912,0.9681,0.5438,0.9873,2018-09-23 18:58:11
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,"Omaha, Clinton",50 to 85 percent,Cell,0.1111,0.6008,0.9316,0.8082,0.6755,2018-09-23 19:03:48
Rep,65 and older,High school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Trump",85 percent or higher,Cell,1,0.9635,1.1352,0.8736,1.1583,2018-09-23 19:08:18
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9974,0.8747,0.4195,0.893,2018-09-23 19:11:27
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,"Omaha, Trump",Less than 50 percent,Cell,1,0.4998,1.0531,1.5025,1.193,2018-09-23 19:11:54
