response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Don't know,Support,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.6683,0.6825,0.2934,0.6904,2018-09-22 15:32:25
Rep,65 and older,Some college or trade school,Unknown,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Don't know,Oppose,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Ocean,85 percent or higher,Landline,1,0.9734,0.8846,0.7163,0.8812,2018-09-22 15:59:46
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.9724,0.6005,0.188,0.6024,2018-09-22 15:59:50
Dem,[DO NOT READ] Refused,High school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Trump",85 percent or higher,Landline,1,0.8503,1.8613,1.7456,1.8945,2018-09-22 15:59:50
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Oppose,support,Approve,Dems. take House,Favorable,No,Favorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,"Burlington, Clinton",85 percent or higher,Cell,0.6667,0.8821,0.7042,0.5339,0.6287,2018-09-22 16:01:29
Rep,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Don't know,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,"Burlington, Trump",85 percent or higher,Landline,1,0.8855,0.9734,0.6821,0.9668,2018-09-22 16:02:23
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.933,0.789,0.2424,0.7836,2018-09-22 16:14:14
Dem,18 to 34,High school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.7073,1.4137,1.1417,1.48,2018-09-22 16:21:52
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Favorable,Don't know,30 to 44,Some College Educ.,Democratic,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,"Burlington, Clinton",50 to 85 percent,Landline,0,0.6181,0.9914,0.9028,0.3516,2018-09-22 16:30:08
Dem,18 to 34,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Ocean,Less than 50 percent,Cell,1,0.2636,0.9609,1.7857,1.1029,2018-09-22 16:32:05
Rep,18 to 34,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Ocean,85 percent or higher,Cell,1,0.9693,0.7046,0.282,0.7069,2018-09-22 16:34:38
Dem,50 to 64,Some college or trade school,Black,Female,Black,Support,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Black,"Burlington, Clinton",85 percent or higher,Cell,1,0.9205,0.7479,0.5355,0.7537,2018-09-22 16:38:41
Und,18 to 34,Some college or trade school,Black,Male,Other,Support,Don't know,Disapp.,Dems. take House,Unfavorable,No,Favorable,Support,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Black,Ocean,50 to 85 percent,Cell,0.8889,0.6936,0.7647,0.7817,0.7519,2018-09-22 16:39:26
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Burlington, Trump",85 percent or higher,Landline,1,0.9915,0.8943,0.3593,0.897,2018-09-22 16:42:08
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Oppose,Don't know,Disapp.,Dems. take House,Don't know,No,Don't know,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Black,"Burlington, Clinton",85 percent or higher,Cell,1,0.9887,0.6236,0.2772,0.6254,2018-09-22 17:00:14
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Support,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Ocean,50 to 85 percent,Cell,1,0.7334,0.6319,0.3132,0.6576,2018-09-22 17:03:14
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Ocean,50 to 85 percent,Landline,1,0.7908,0.8482,0.3517,0.8725,2018-09-22 17:14:20
Dem,65 and older,High school,White,Female,White,Don't know,oppose,Disapp.,Dems. take House,Favorable,Yes,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Trump",85 percent or higher,Landline,1,0.8587,1.8613,1.7287,1.892,2018-09-22 17:14:53
Rep,65 and older,Some college or trade school,Unknown,Male,White,Support,support,Approve,Reps. keep House,Favorable,Yes,Favorable,Support,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Ocean,Less than 50 percent,Cell,1,0.4246,1.2312,2.6076,1.4165,2018-09-22 17:22:14
Dem,18 to 34,High school,White,Male,White,Oppose,oppose,Disapp.,Don't know,Don't know,Yes,Don't know,Oppose,30 to 44,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,"Burlington, Clinton",Less than 50 percent,Cell,0.4444,0.0577,1.9304,8.536,0.877,2018-09-22 17:28:23
Und,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Ocean,85 percent or higher,Cell,1,0.8743,0.907,0.5752,0.9198,2018-09-22 17:28:32
Rep,18 to 34,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Don't know,Oppose,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Ocean,Less than 50 percent,Cell,1,0.4637,0.8424,0.905,0.8884,2018-09-22 17:28:59
