response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Favorable,Unfavorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Somerset,85 percent or higher,Landline,1,0.99,0.9701,0.4077,0.9845,2018-09-17 21:43:53
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,oppose,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Other Non-White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.5328,0.8014,0.7623,0.8925,2018-09-17 21:49:36
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,support,Don't know,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Support,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Hispanic,Hunterdon/Warren,50 to 85 percent,Landline,0.6667,0.7936,1.2211,0.8112,1.2089,2018-09-17 21:58:27
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Don't know,Support,agree,65 and older,Some College Educ.,Democratic,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,0.7778,0.9084,0.8657,0.4517,0.8107,2018-09-17 22:04:11
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Don't know,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Morris,50 to 85 percent,Cell,1,0.5114,0.3452,0.4225,0.3875,2018-09-17 22:07:38
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Essex/Union,85 percent or higher,Landline,1,0.9954,1.0537,0.4422,1.0678,2018-09-17 22:15:26
Rep,18 to 34,Bachelors' degree,White,Female,White,support,Disapp.,Reps. keep House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Essex/Union,Less than 50 percent,Landline,0.4444,0.4573,0.6726,0.7919,0.6234,2018-09-17 22:20:52
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Unfavorable,Favorable,Oppose,Support,Oppose,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Essex/Union,85 percent or higher,Landline,1,0.8714,1.2872,0.5634,1.3213,2018-09-17 22:24:46
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Somerset,85 percent or higher,Landline,1,0.9541,0.6805,0.3981,0.6915,2018-09-17 22:34:54
Und,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Support,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Hispanic,Hunterdon/Warren,85 percent or higher,Landline,1,0.9458,0.9166,0.5023,0.932,2018-09-17 22:39:15
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Essex/Union,85 percent or higher,Landline,1,0.9862,1.1721,0.4571,1.1893,2018-09-17 22:47:16
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Somerset,85 percent or higher,Landline,1,0.9715,1.2391,0.6446,1.2577,2018-09-17 22:55:04
Dem,35 to 49,Bachelors' degree,Other,Male,White,support,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Support,disagree,30 to 44,4-year College Grad.,Democratic,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Other Non-White,Somerset,Less than 50 percent,Cell,0,0.4938,0.9104,1.0863,0.2795,2018-09-17 22:55:58
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Essex/Union,85 percent or higher,Cell,1,0.942,1.1721,0.4786,1.1923,2018-09-17 23:00:46
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Support,Oppose,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Essex/Union,50 to 85 percent,Landline,1,0.6638,0.9146,0.8042,0.9793,2018-09-17 23:00:46
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Don't know,Approve,Dems. take House,Don't know,Unfavorable,Support,Oppose,Don't know,agree,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Somerset,50 to 85 percent,Cell,0.6667,0.7873,1.7606,1.3478,1.5152,2018-09-17 23:01:40
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,oppose,Disapp.,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Somerset,50 to 85 percent,Landline,1,0.8479,1.1862,0.6061,1.2222,2018-09-17 23:01:59
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Somerset,50 to 85 percent,Landline,1,0.8119,0.7313,0.503,0.7582,2018-09-17 23:06:56
Und,[DO NOT READ] Refused,Some college or trade school,Unknown,Female,[DO NOT READ] Don't know/Refused,support,Disapp.,Reps. keep House,Favorable,Favorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,Unknown,Morris,Less than 50 percent,Landline,0.7778,0.4039,1.2876,2.1139,1.3957,2018-09-17 23:11:17
