response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Morris,50 to 85 percent,Cell,0.8889,0.8127,0.6181,0.3116,0.5943,2018-10-28 17:17:42
Dem,50 to 64,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,White,Somerset,85 percent or higher,Landline,1,0.9321,0.9143,0.4333,0.9031,2018-10-28 17:18:54
Und,18 to 34,Some college or trade school,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Essex/Union,Less than 50 percent,Cell,0.5556,0.198,1.2064,5.519,0.7786,2018-10-28 17:19:30
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Morris,50 to 85 percent,Cell,1,0.85,1.0214,0.8738,0.9968,2018-10-28 17:20:06
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,Other,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Postgraduate Degree,Unknown,Somerset,Less than 50 percent,Cell,1,0.3669,0.7211,1.2103,0.8392,2018-10-28 17:20:33
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.9614,1.062,1.0357,1.0369,2018-10-28 17:20:51
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,Unknown,Somerset,85 percent or higher,Cell,1,0.97,1.4247,0.9813,1.4026,2018-10-28 17:21:18
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Morris,Less than 50 percent,Cell,1,0.3386,0.7023,1.215,0.7601,2018-10-28 17:21:27
Dem,50 to 64,Bachelors' degree,Other,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,4-year College Grad.,Non-White,Hunterdon/Warren,85 percent or higher,Cell,1,0.9644,1.0066,0.5401,0.983,2018-10-28 17:22:03
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Somerset,50 to 85 percent,Landline,1,0.7491,0.8898,0.4649,0.9279,2018-10-28 17:23:06
Und,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Nonwhite,35 to 49,No 4-year College Degree,Non-White,Somerset,Less than 50 percent,Cell,1,0.3769,1.1795,2.6271,1.365,2018-10-28 17:23:33
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Unknown,Essex/Union,85 percent or higher,Cell,1,0.97,0.881,0.3932,0.8718,2018-10-28 17:25:21
