response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,East,85 percent or higher,Landline,1,0.8932,0.9792,0.5494,0.9659,2018-10-23 14:03:12
Dem,65 and older,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,West,85 percent or higher,Landline,1,0.97,0.9808,0.4011,0.9774,2018-10-23 14:03:12
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,35 to 49,Non-White,East,Less than 50 percent,Cell,1,0.3375,0.7182,1.4241,0.6533,2018-10-23 14:03:12
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,White,West,Less than 50 percent,Cell,1,0.3887,0.6003,1.2645,0.6986,2018-10-23 14:03:21
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,White,Dona Ana,50 to 85 percent,Cell,1,0.8009,0.7521,0.3516,0.7826,2018-10-23 14:03:21
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,East,50 to 85 percent,Cell,1,0.8101,0.8782,0.5528,0.9116,2018-10-23 14:03:21
Rep,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,18 to 34,Non-White,Dona Ana,85 percent or higher,Cell,1,0.97,1.0053,0.5214,0.9943,2018-10-23 14:03:21
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dona Ana,85 percent or higher,Cell,1,0.931,1.2726,0.6952,1.2725,2018-10-23 14:03:21
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,35 to 49,Non-White,Dona Ana,85 percent or higher,Cell,1,0.8567,1.191,0.6708,1.1761,2018-10-23 14:03:30
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,Non-White,West,50 to 85 percent,Cell,1,0.7402,0.8245,0.4395,0.8512,2018-10-23 14:03:30
