response,ager,educ,file_race,gender,race_eth,approve,GOVHR,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,High school,Unknown,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Central/North Las Vegas,85 percent or higher,Cell,1,0.9865,1.0442,0.7298,1.0404,2018-10-08 23:09:34
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest,85 percent or higher,Cell,1,0.939,0.7846,0.3738,0.7839,2018-10-09 00:32:43
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Rep.,Don't know,Rep.,Don't know,18 to 29,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Rest of Clark,Less than 50 percent,Cell,0.6667,0.0329,1.0698,5.4068,0.8772,2018-10-09 00:37:13
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,85 percent or higher,Cell,1,0.9707,0.8321,0.4358,0.8293,2018-10-09 00:44:07
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Cell,1,0.6009,1.1797,0.8675,1.2619,2018-10-09 00:47:30
Rep,50 to 64,High school,White,Male,White,Approve,Rep.,Favorable,Rep.,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.8739,1.0683,0.7098,1.0544,2018-10-09 00:48:33
Dem,65 and older,Some college or trade school,Black,Male,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,Other Non-White,Rest of Clark,50 to 85 percent,Landline,0.8889,0.7978,1.4643,0.7926,1.4733,2018-10-09 00:48:42
Rep,50 to 64,Bachelors' degree,Unknown,Female,Hispanic,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,40 to 64,4-year College Grad.,Unknown,Central/North Las Vegas,85 percent or higher,Cell,1,0.9076,0.8594,0.5603,0.8618,2018-10-09 00:51:06
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Landline,0.7778,0.6779,1.131,0.783,1.0742,2018-10-09 00:53:48
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Rep.,Don't know,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,50 to 85 percent,Cell,0.7778,0.7659,1.0684,0.604,1.0603,2018-10-09 00:55:09
