response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Favorable,Believe,agree,18 to 29,Some College Educ.,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Brookhaven,Less than 50 percent,Cell,0.5556,0.0806,1.2234,6.152,0.4823,2018-10-04 21:19:05
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,Other,oppose,Disapp.,Check,support,Dems. take House,Don't know,Favorable,Believe,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Unknown,Rest,50 to 85 percent,Cell,1,0.6787,0.7958,0.3797,0.8504,2018-10-04 21:21:29
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Brookhaven,Less than 50 percent,Cell,1,0.3681,1.0993,2.2421,1.3205,2018-10-04 21:22:23
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,Brookhaven,85 percent or higher,Cell,0.7778,0.93,0.8296,0.4777,0.8348,2018-10-04 21:24:38
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Don't know,Check,Don't know,Dems. take House,Don't know,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Brookhaven,85 percent or higher,Cell,0.7778,0.8667,0.7542,0.3848,0.6936,2018-10-04 21:27:56
Dem,18 to 34,Some college or trade school,White,Male,Black,oppose,Approve,Support,oppose,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Some College Educ.,Democratic,Male,Not at all likely,Independent (No party),Nonwhite,18 to 34,White,Rest,50 to 85 percent,Cell,0.5556,0.5876,1.2232,1.6476,0.6696,2018-10-04 21:53:09
Rep,65 and older,High school,Other,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,agree,65 and older,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,Non-White,Brookhaven,85 percent or higher,Landline,1,0.884,1.3295,1.0358,1.3386,2018-10-04 22:30:23
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,Less than 50 percent,Landline,0,0.1823,0.7449,1.6972,0.2157,2018-10-04 22:34:31
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.928,0.6844,0.3278,0.689,2018-10-04 22:38:43
Dem,[DO NOT READ] Refused,Some college or trade school,Unknown,Female,White,Don't know,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,Unknown,Brookhaven,85 percent or higher,Cell,1,0.9237,1.1728,0.9555,1.1976,2018-10-04 22:48:37
