response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,65 and older,Unknown,85 percent or higher,Cell,1,0.8934,0.8784,0.4897,0.8815,2018-10-23 20:53:54
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",Brooklyn,50 to 64,White,Less than 50 percent,Cell,1,0.1208,0.7983,3.6646,1.2151,2018-10-23 21:12:54
Dem,50 to 64,High school,Unknown,Male,White,Approve,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",Brooklyn,50 to 64,Unknown,Less than 50 percent,Cell,1,0.4985,1.7162,2.9526,1.7795,2018-10-23 21:13:21
Rep,18 to 34,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,Nonwhite,Staten Island,18 to 34,White,Less than 50 percent,Cell,1,0.3911,0.7229,0.5746,0.8395,2018-10-23 21:16:44
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,50 to 64,White,Less than 50 percent,Cell,1,0.1937,0.6836,2.0914,0.9286,2018-10-23 21:22:53
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9688,0.8038,0.2509,0.8003,2018-10-23 21:35:21
Rep,35 to 49,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,Nonwhite,Staten Island,35 to 49,White,85 percent or higher,Cell,1,0.8929,0.687,0.3666,0.6895,2018-10-23 21:38:57
Dem,50 to 64,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Brooklyn,35 to 49,Hispanic,85 percent or higher,Landline,1,0.8579,0.9297,0.5089,0.938,2018-10-23 21:45:33
Dem,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,[DO NOT READ] Don't know/Refused,Brooklyn,65 and older,White,50 to 85 percent,Landline,1,0.7781,0.7815,0.4719,0.8173,2018-10-23 21:55:13
Und,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",Staten Island,18 to 34,White,Less than 50 percent,Cell,0.2222,0.0432,1.0955,3.8549,0.3883,2018-10-23 22:04:34
Rep,[DO NOT READ] Refused,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,65 and older,Unknown,Less than 50 percent,Landline,1,0.2346,1.2637,2.69,1.6417,2018-10-23 22:04:52
Und,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9497,0.8038,0.2559,0.8014,2018-10-23 22:05:28
Dem,35 to 49,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,Staten Island,35 to 49,White,85 percent or higher,Cell,1,0.9515,0.8104,0.2798,0.7994,2018-10-23 22:15:22
Und,50 to 64,Bachelors' degree,White,Male,Other,Approve,Don't know,Don't know,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.9014,0.7321,0.2435,0.7214,2018-10-23 22:18:13
Dem,18 to 34,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Staten Island,18 to 34,Other Non-White,Less than 50 percent,Cell,0.8889,0.2629,1.0646,1.6986,1.1412,2018-10-23 22:24:13
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,50 to 64,Unknown,50 to 85 percent,Cell,0.8889,0.6524,1.0816,0.593,1.1139,2018-10-23 22:27:22
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,18 to 34,Hispanic,Less than 50 percent,Cell,1,0.4402,1.0871,1.2315,1.2323,2018-10-23 22:27:49
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Brooklyn,35 to 49,White,85 percent or higher,Cell,1,0.9609,0.722,0.2559,0.7191,2018-10-23 22:29:19
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9633,0.7026,0.2996,0.6997,2018-10-23 22:32:17
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,White,Less than 50 percent,Landline,1,0.4258,0.8569,1.2019,0.9779,2018-10-23 22:32:26
Dem,18 to 34,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Staten Island,18 to 34,White,Less than 50 percent,Cell,1,0.2919,0.7439,1.5252,0.9198,2018-10-23 22:33:38
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9066,0.8038,0.268,0.8053,2018-10-23 22:35:26
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Brooklyn,35 to 49,Hispanic,50 to 85 percent,Landline,1,0.7751,0.8078,0.3874,0.8272,2018-10-23 22:43:14
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,18 to 34,White,Less than 50 percent,Cell,0.8889,0.4236,0.7706,0.815,0.8481,2018-10-23 22:51:29
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Brooklyn,65 and older,White,85 percent or higher,Landline,1,0.9082,0.7384,0.2387,0.7396,2018-10-23 23:00:11
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.7289,0.9374,0.4889,0.9692,2018-10-23 23:04:53
