response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Graduate or Professional Degree,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Non-White,Oneida,85 percent or higher,Cell,1,0.9242,0.851,0.395,0.842,2018-11-01 20:17:12
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Oneida,85 percent or higher,Landline,1,0.8847,1.6016,1.1169,1.5625,2018-11-01 20:33:18
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,Less than 50 percent,Landline,1,0.489,0.8139,0.7261,0.8945,2018-11-01 20:45:54
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Oneida,50 to 85 percent,Cell,1,0.7809,1.3135,1.231,1.2889,2018-11-01 21:17:35
Dem,18 to 34,High school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Rest,50 to 85 percent,Cell,1,0.732,2.1356,2.7244,2.184,2018-11-01 21:19:23
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9202,0.6317,0.3564,0.6161,2018-11-01 21:21:38
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.7069,0.8612,0.5284,0.8857,2018-11-01 21:22:50
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.7466,0.9643,0.5619,0.983,2018-11-01 21:23:17
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Broome,85 percent or higher,Cell,1,0.9602,0.6616,0.1879,0.6523,2018-11-01 21:24:38
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Broome,50 to 85 percent,Cell,1,0.6171,1.1356,0.6366,1.1953,2018-11-01 21:24:38
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,White,Oneida,85 percent or higher,Cell,1,0.9374,0.9655,0.5225,0.9539,2018-11-01 21:25:41
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Oneida,50 to 85 percent,Cell,1,0.7076,0.9745,0.5889,0.9634,2018-11-01 21:25:59
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.7467,0.9236,0.5094,0.9416,2018-11-01 21:26:26
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Republican,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Broome,Less than 50 percent,Cell,0,0.2771,1.4606,3.0432,0.4434,2018-11-01 21:26:35
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Don't know,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Oneida,50 to 85 percent,Cell,0.7778,0.8186,0.6221,0.2627,0.5437,2018-11-01 21:29:26
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9509,0.5948,0.251,0.5911,2018-11-01 21:31:46
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Oneida,50 to 85 percent,Landline,1,0.5404,0.6158,0.6039,0.6641,2018-11-01 21:34:28
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Oneida,50 to 85 percent,Cell,1,0.7097,0.9818,0.747,1.0091,2018-11-01 21:35:04
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Rest,Less than 50 percent,Cell,1,0.3131,1.9815,6.2239,2.3879,2018-11-01 21:44:53
Rep,18 to 34,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,18 to 34,White,Oneida,50 to 85 percent,Cell,1,0.6116,1.2816,0.9916,1.3511,2018-11-01 21:46:50
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Landline,0.6667,0.7654,0.9643,0.5482,0.8847,2018-11-01 21:46:59
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Oneida,85 percent or higher,Landline,1,0.9423,1.5456,1.2095,1.5084,2018-11-01 21:47:53
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Not at all likely,Republican,"White, No 4-Year College Degree",65 and older,White,Broome,Less than 50 percent,Landline,0,0.2345,0.7204,1.7136,0.1626,2018-11-01 21:52:05
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Oneida,85 percent or higher,Landline,1,0.907,0.6383,0.3591,0.633,2018-11-01 21:52:05
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Oneida,50 to 85 percent,Landline,1,0.8479,0.6381,0.3337,0.6383,2018-11-01 21:53:44
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Broome,Less than 50 percent,Cell,1,0.3702,1.2357,1.6184,1.4366,2018-11-01 21:53:44
