response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,Other,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,Unknown/Non-White,Rest,85 percent or higher,Cell,1,0.9442,1.2312,1.0022,1.2357,2018-10-24 20:43:00
Und,65 and older,Some college or trade school,White,Male,White,Approve,Don't know,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9313,0.8457,0.5413,0.8499,2018-10-24 20:43:00
Rep,65 and older,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,65 and older,White,Rest,85 percent or higher,Cell,1,0.8725,0.8099,0.6151,0.8035,2018-10-24 21:01:25
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Buffalo Burbs,85 percent or higher,Cell,1,0.8996,0.9207,0.7756,0.9289,2018-10-24 21:11:12
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9365,0.6055,0.2781,0.6082,2018-10-24 21:12:06
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8043,0.8441,0.4138,0.8648,2018-10-24 21:27:37
Dem,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,35 to 49,White,Rest,Less than 50 percent,Cell,1,0.3809,0.9353,1.0695,1.0121,2018-10-24 21:47:08
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Don't know,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,Rest,Less than 50 percent,Cell,0.8889,0.2811,1.1812,3.4683,1.2628,2018-10-24 22:16:42
Dem,65 and older,High school,Hispanic,Female,White,Approve,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Rest,85 percent or higher,Cell,1,0.8623,1.0292,0.6398,0.9711,2018-10-24 22:17:18
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.8372,1.1485,0.7733,1.1698,2018-10-24 22:24:42
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Landline,0.8889,0.4847,0.8185,0.9496,0.7043,2018-10-24 22:31:00
Und,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9297,1.2401,0.7573,1.2465,2018-10-24 22:46:46
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Buffalo Burbs,Less than 50 percent,Cell,1,0.4855,1.6434,1.5701,1.8385,2018-10-24 22:49:28
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.5979,0.865,0.8315,0.9308,2018-10-24 22:53:31
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest,Less than 50 percent,Cell,1,0.3751,1.1204,1.8984,1.3204,2018-10-24 23:02:41
Rep,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,50 to 85 percent,Cell,0.6667,0.5352,1.7005,2.4643,1.6921,2018-10-24 23:04:56
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",65 and older,Unknown/Non-White,Buffalo Burbs,50 to 85 percent,Cell,0.7778,0.5022,0.5981,0.4953,0.4872,2018-10-24 23:10:29
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Buffalo Burbs,85 percent or higher,Cell,1,0.8896,1.0921,0.8627,1.1034,2018-10-24 23:19:19
3,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9494,0.5017,0.2543,0.5033,2018-10-24 23:24:16
