response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Warren,85 percent or higher,Landline,1,0.97,0.9128,0.3932,0.9086
Rep,35 to 49,High school,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Non-White,Warren,85 percent or higher,Landline,1,0.9278,1.1119,1.4135,1.1052
Dem,35 to 49,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,50 to 85 percent,Cell,1,0.6684,1.0129,1.1905,1.0568
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Hamilton,85 percent or higher,Cell,1,0.9588,0.9267,0.371,0.9184
Rep,18 to 34,Some college or trade school,Black,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Cincinnati,50 to 85 percent,Cell,1,0.7443,1.0837,0.7306,1.0724
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cincinnati,85 percent or higher,Cell,1,0.946,0.9275,0.4669,0.9099
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,4-year College Grad.,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9618,0.8884,0.451,0.8855
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,50 to 85 percent,Landline,1,0.7451,1.1981,0.7717,1.1855
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Hamilton,Less than 50 percent,Landline,1,0.365,1.3399,1.8754,1.6702
Rep,35 to 49,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,Less than 50 percent,Cell,1,0.3566,1.1395,3.0939,1.2309
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0315,0.7596,1.0216
Dem,18 to 34,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,18 to 39,4-year College Grad.,White,Cincinnati,Less than 50 percent,Cell,1,0.3373,1.2407,2.4567,1.4787
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Cell,1,0.8828,1.0294,1.1366,1.0431
Dem,35 to 49,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,4-year College Grad.,White,Warren,50 to 85 percent,Cell,1,0.7282,1.0144,0.6429,1.0056
Und,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Warren,Less than 50 percent,Landline,0.7778,0.0829,1.4883,6.5113,1.2363
Und,18 to 34,Some college or trade school,Black,Male,Other,Don't know,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,Non-White,Hamilton,85 percent or higher,Cell,1,0.97,1.2593,0.6269,1.2472
