response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,Don't know,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,White,Lower Bucks,85 percent or higher,Cell,1,0.9805,1.8883,1.3596,1.8949,2018-10-11 19:37:20
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9687,0.6388,0.3259,0.6414,2018-10-11 19:38:05
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.8711,0.702,0.4757,0.7128,2018-10-11 19:41:59
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9556,1.0863,0.5874,1.0915,2018-10-11 19:51:21
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Check,oppose,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9877,1.1762,0.6029,1.1804,2018-10-11 20:04:35
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Lower Bucks,85 percent or higher,Cell,1,0.9128,0.7012,0.5111,0.7078,2018-10-11 20:08:29
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,Montgomery,Less than 50 percent,Cell,0.7778,0.3554,0.7614,1.3947,0.8313,2018-10-11 20:19:30
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,Some College Educ.,Other,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,White,Middle/Upper Bucks,Less than 50 percent,Cell,1,0.4577,1.1302,2.4104,1.282,2018-10-11 20:22:21
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,disagree,18 to 29,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Middle/Upper Bucks,50 to 85 percent,Cell,1,0.5189,0.7757,1.185,0.8587,2018-10-11 20:28:57
Und,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Check,Don't know,Don't know,Unfavorable,Unfavorable,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",35 to 49,White,Middle/Upper Bucks,Less than 50 percent,Cell,1,0.3378,1.2818,2.1827,1.548,2018-10-11 20:29:24
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,Do not believe,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9044,0.8484,0.5204,0.8574,2018-10-11 20:30:18
