response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,18 to 34,Bachelors' degree,White,Female,Black,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Support,agree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Allentown/Bethlehem,Less than 50 percent,Cell,0.8889,0.2286,0.5944,1.6545,0.6606,2018-09-22 00:29:17
Rep,35 to 49,High school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Monroe/Northampton,Less than 50 percent,Cell,1,0.3359,2.1685,4.8253,2.6441,2018-09-22 00:35:46
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Lehigh,85 percent or higher,Landline,1,0.9575,0.5281,0.2345,0.5351,2018-09-22 00:36:04
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Don't know,Don't know,Support,Oppose,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,Unknown,Monroe/Northampton,85 percent or higher,Landline,1,0.9651,0.4405,0.2379,0.4461,2018-09-22 00:41:46
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Lehigh,50 to 85 percent,Cell,0.8889,0.5018,0.8541,0.8145,0.9297,2018-09-22 00:47:45
Dem,65 and older,High school,White,Female,White,support,Disapp.,Don't know,Favorable,Don't know,Don't know,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Lehigh,Less than 50 percent,Landline,0.7778,0.3799,1.6069,3.5805,1.5872,2018-09-22 00:59:54
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,support,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Monroe/Northampton,50 to 85 percent,Landline,1,0.6329,0.5201,0.3794,0.56,2018-09-22 01:03:06
Und,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Monroe/Northampton,85 percent or higher,Cell,1,0.8961,0.8689,0.3928,0.8864,2018-09-22 01:08:57
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Allentown/Bethlehem,50 to 85 percent,Cell,1,0.5189,0.9015,0.7587,0.9459,2018-09-22 01:13:27
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Lehigh,85 percent or higher,Landline,1,0.9603,0.5281,0.2338,0.535,2018-09-22 01:22:15
Dem,65 and older,Some college or trade school,Asian,Female,Asian,oppose,Disapp.,Reps. keep House,Unfavorable,Don't know,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,Non-White,Allentown/Bethlehem,Less than 50 percent,Landline,0.8889,0.3374,1.024,2.0787,1.193,2018-09-22 01:29:18
Dem,50 to 64,Bachelors' degree,Unknown,Male,Black,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Unknown,Monroe/Northampton,Less than 50 percent,Cell,1,0.3835,0.6083,0.7283,0.7212,2018-09-22 01:33:35
Rep,50 to 64,Some college or trade school,White,Male,White,oppose,Approve,Reps. keep House,Favorable,Don't know,Don't know,Support,Support,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Monroe/Northampton,Less than 50 percent,Cell,1,0.3558,0.8211,1.1929,0.989,2018-09-22 01:39:08
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Lehigh,85 percent or higher,Cell,1,0.9124,0.7956,0.3468,0.8099,2018-09-22 14:52:12
Dem,50 to 64,Some college or trade school,White,Female,White,support,Disapp.,Dems. take House,Don't know,Don't know,Support,Support,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Monroe/Northampton,85 percent or higher,Landline,1,0.9263,0.8323,0.4482,0.8458,2018-09-22 14:55:21
Dem,50 to 64,Graduate or Professional Degree,Other,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Non-White,Monroe/Northampton,Less than 50 percent,Landline,0.7778,0.3378,0.5512,0.8226,0.5495,2018-09-22 15:04:07
Rep,65 and older,Some college or trade school,Unknown,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Allentown/Bethlehem,85 percent or higher,Landline,1,0.9682,0.98,0.6343,0.9922,2018-09-22 15:12:31
