response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Unknown,Lackawanna,50 to 85 percent,Cell,1,0.5813,1.0637,0.6339,1.1006,2018-10-16 22:16:46
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Luzurne,Less than 50 percent,Landline,0.1111,0.1029,0.5214,1.6901,0.1235,2018-10-16 22:20:31
Dem,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Lackawanna,85 percent or higher,Landline,1,0.965,0.7906,0.3937,0.7933,2018-10-16 22:21:34
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Dems. take House,Unfavorable,Don't know,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Luzurne,Less than 50 percent,Landline,0.4444,0.3802,0.7474,1.2444,0.4774,2018-10-16 22:21:43
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Unknown,Lackawanna,Less than 50 percent,Landline,0.5556,0.3924,0.8487,1.0256,0.8325,2018-10-16 22:24:52
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Pike/Wayne,50 to 85 percent,Cell,1,0.8222,0.998,0.5442,1.0292,2018-10-16 22:25:28
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Pike/Wayne,50 to 85 percent,Landline,1,0.6781,1.5297,1.2697,1.5583,2018-10-16 22:27:52
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Non-White,Luzurne,50 to 85 percent,Cell,1,0.7605,1.2887,1.0593,1.3448,2018-10-16 22:28:01
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Lackawanna,85 percent or higher,Landline,1,0.965,0.7393,0.3585,0.7418,2018-10-16 22:28:28
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Luzurne,Less than 50 percent,Cell,0.8889,0.3798,0.6612,1.101,0.7535,2018-10-16 22:28:46
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Lackawanna,50 to 85 percent,Cell,1,0.6715,1.0459,0.7726,1.0664,2018-10-16 22:30:52
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Lackawanna,50 to 85 percent,Landline,1,0.8459,0.8604,0.4775,0.8984,2018-10-16 22:51:20
Rep,18 to 34,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Lackawanna,Less than 50 percent,Cell,0.7778,0.4415,0.9679,1.1683,0.7875,2018-10-16 22:51:38
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Don't know,Favorable,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Lackawanna,85 percent or higher,Landline,1,0.965,0.6673,0.3092,0.6752,2018-10-16 22:52:50
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Luzurne,Less than 50 percent,Cell,1,0.4808,0.7888,1.2233,0.8928,2018-10-16 22:58:23
