response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Und,18 to 34,Bachelors' degree,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",18 to 34,White,York,85 percent or higher,Cell,1,0.97,1.0749,0.4729,1.0858
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,White,Cumberland,85 percent or higher,Cell,1,0.9603,0.8418,0.4328,0.8466
Rep,18 to 34,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,Unknown,Dauphin,50 to 85 percent,Cell,1,0.7657,0.7386,0.533,0.765
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Cumberland,85 percent or higher,Cell,1,0.9622,0.6759,0.3514,0.6797
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Cumberland,85 percent or higher,Cell,1,0.97,0.5817,0.2344,0.5846
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,White,Cumberland,85 percent or higher,Cell,1,0.97,1.0269,0.5291,1.0321
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,18 to 34,Non-White,York,Less than 50 percent,Cell,1,0.1844,0.6809,1.9926,0.9449
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Unknown,Cumberland,85 percent or higher,Cell,1,0.97,0.8696,0.6,0.874
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Cumberland,85 percent or higher,Landline,0.8889,0.9574,0.7114,0.3896,0.7123
Dem,35 to 49,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,White,Dauphin,50 to 85 percent,Cell,1,0.7751,1.0331,0.6901,1.0679
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.97,0.8341,0.3318,0.8384
Rep,18 to 34,Some college or trade school,Unknown,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,18 to 34,Unknown,York,50 to 85 percent,Cell,1,0.8252,0.5663,0.3228,0.5799
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Female,Not at all likely,Republican,"White, No 4-Year College Degree",35 to 49,White,York,50 to 85 percent,Cell,0,0.5398,0.793,0.7366,0.2548
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Cumberland,50 to 85 percent,Cell,1,0.673,0.5305,0.2856,0.5373
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Dauphin,50 to 85 percent,Cell,1,0.785,1.2832,0.9027,1.3239
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Cumberland,50 to 85 percent,Landline,0.2222,0.578,0.9942,0.841,0.6017
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Cumberland,85 percent or higher,Landline,1,0.97,1.0269,0.5291,1.0321
Rep,65 and older,High school,Unknown,Female,White,Don't know,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Cumberland,85 percent or higher,Landline,1,0.9012,1.0134,0.7143,0.9687
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Cumberland,Less than 50 percent,Cell,1,0.3919,0.6538,1.0531,0.7069
Dem,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,York,Less than 50 percent,Cell,1,0.37,1.1297,1.5357,1.3399
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.9304,0.5572,0.2047,0.562
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Dauphin,Less than 50 percent,Cell,1,0.3992,0.932,1.6878,1.0881
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Dauphin,85 percent or higher,Landline,1,0.902,1.0465,0.5719,1.0591
Dem,65 and older,Some college or trade school,Unknown,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Unknown,Dauphin,85 percent or higher,Landline,1,0.9497,0.6955,0.478,0.7001
Rep,65 and older,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Cumberland,85 percent or higher,Landline,1,0.97,0.9912,0.5691,0.9963
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Dauphin,85 percent or higher,Landline,1,0.97,2.4754,2.3871000000000002,2.488
Und,65 and older,Bachelors' degree,White,Male,White,Don't know,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.97,0.799,0.2779,0.8031
Rep,50 to 64,High school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,White,Dauphin,85 percent or higher,Landline,1,0.8794,2.3713,2.2056,2.4075
