response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_edu,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Some college or trade school,Black,Male,Black,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Don't know,Unfavorable,disagree,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,65 and older,Black,Northwest,85 percent or higher,Landline,0.1111,0.9848,0.7281,0.3282,0.6807,2018-09-14 23:35:19
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Approve,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,"White, 4-Year College Grads",Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9813,0.6241,0.3236,0.6293,2018-09-14 23:39:40
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Hispanic,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Hispanic,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9921,0.351,0.1586,0.3541,2018-09-15 00:11:25
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,Oppose,disagree,Disapp.,oppose,Oppose,agree,Reps. keep House,Unfavorable,Unfavorable,disagree,Beto O'Rourke,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,Asian,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9588,1.0353,0.7659,1.045,2018-09-15 00:17:03
Rep,50 to 64,High school,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,Ted Cruz,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,"White, No 4-Year College Degree",Northwest,85 percent or higher,Landline,1,0.8645,1.7848,1.5268,1.8226,2018-09-15 00:23:12
Dem,65 and older,Some college or trade school,White,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,"White, No 4-Year College Degree",Northwest,85 percent or higher,Landline,1,0.9963,0.6297,0.4113,0.6355,2018-09-15 00:24:15
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Approve,support,Oppose,agree,Reps. keep House,Favorable,Favorable,disagree,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,"White, No 4-Year College Degree",West,50 to 85 percent,Cell,1,0.8182,1.0539,0.8516,1.0846,2018-09-15 00:28:09
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,Don't know,Reps. keep House,Don't know,Favorable,disagree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,50 to 85 percent,Cell,1,0.8284,0.7385,0.3181,0.7586,2018-09-15 00:32:58
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,"White, 4-Year College Grads",West,50 to 85 percent,Cell,1,0.8103,0.4145,0.2304,0.4272,2018-09-15 00:33:43
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,Don't know,Disapp.,oppose,Oppose,agree,Dems. take House,Don't know,Unfavorable,disagree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",West,85 percent or higher,Landline,0.4444,0.9902,0.6601,0.2797,0.6538,2018-09-15 00:36:16
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,85 percent or higher,Landline,1,0.9959,0.7012,0.3018,0.7077,2018-09-15 00:37:46
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,"White, 4-Year College Grads",Northwest,85 percent or higher,Cell,0.8889,0.9639,0.6681,0.3182,0.6714,2018-09-15 00:38:13
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,"White, 4-Year College Grads",West,85 percent or higher,Cell,1,0.9843,0.6385,0.3441,0.6438,2018-09-15 00:41:04
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Unfavorable,agree,Ted Cruz,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,"White, 4-Year College Grads",West,50 to 85 percent,Cell,1,0.7849,1.6608,0.923,1.7197,2018-09-15 00:42:34
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Support,agree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,Ted Cruz,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,Nonwhite,35 to 49,Hispanic,Inner Loop/Bellaire,Less than 50 percent,Cell,1,0.3644,1.0696,2.4087,1.2771,2018-09-15 00:43:46
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Support,disagree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Don't know,disagree,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,West,85 percent or higher,Cell,1,0.9701,0.6266,0.4242,0.632,2018-09-15 00:43:55
Rep,35 to 49,Some college or trade school,Unknown,Female,White,Support,agree,Approve,support,Oppose,agree,Reps. keep House,Don't know,Favorable,agree,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9656,1.3676,0.8351,1.3798,2018-09-15 00:45:12
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,"White, 4-Year College Grads",West,50 to 85 percent,Landline,1,0.6931,0.9986,0.5943,1.0547,2018-09-15 00:46:42
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,West,Less than 50 percent,Cell,1,0.1011,1.5956,5.2664,2.5709,2018-09-15 00:46:51
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Oppose,agree,Disapp.,support,Don't know,disagree,Reps. keep House,Don't know,Favorable,disagree,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,"White, 4-Year College Grads",Inner Loop/Bellaire,85 percent or higher,Cell,1,0.8925,0.6241,0.3552,0.6347,2018-09-15 00:47:36
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Oppose,agree,Don't know,Don't know,Don't know,agree,Reps. keep House,Don't know,Unfavorable,disagree,Ted Cruz,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,"White, 4-Year College Grads",Northwest,50 to 85 percent,Landline,0.8889,0.829,0.8392,0.5316,0.8512,2018-09-15 00:48:30
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Don't know,disagree,Don't know,oppose,Oppose,Don't know,Dems. take House,Don't know,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,[DO NOT READ] Don't know/Refused,65 and older,"White, 4-Year College Grads",West,85 percent or higher,Landline,0.7778,0.9922,0.6767,0.3061,0.6717,2018-09-15 00:48:57
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,Ted Cruz,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,"White, No 4-Year College Degree",West,50 to 85 percent,Cell,1,0.7618,1.2943,1.1503,1.3463,2018-09-15 00:49:33
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,85 percent or higher,Cell,1,0.9451,0.684,0.2897,0.6655,2018-09-15 00:50:09
Dem,50 to 64,Bachelors' degree,White,Female,Black,Support,disagree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,"White, 4-Year College Grads",West,85 percent or higher,Cell,1,0.9866,0.7797,0.3476,0.7862,2018-09-15 00:54:48
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,West,85 percent or higher,Cell,1,0.9858,0.4725,0.2909,0.4764,2018-09-15 00:55:24
Dem,50 to 64,Bachelors' degree,Black,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Black,Northwest,85 percent or higher,Landline,1,0.9066,0.7649,0.3097,0.7764,2018-09-15 00:55:42
