response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIA,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,IMPEACH,MUELLER,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Und,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Disapp.,disagree,disagree,disagree,Reps. keep House,Don't know,Unfavorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,50 to 85 percent,Cell,1,0.6403,0.5275,0.187,0.5574
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,50 to 64,White,50 to 85 percent,Cell,1,0.8447,0.7555,0.2449,0.764
Und,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9141,0.4278,0.1477,0.4283
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Disapp.,agree,disagree,disagree,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Beto O'Rourke,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Bexar,65 and older,Hispanic,85 percent or higher,Cell,0.7778,0.8823,2.024,1.331,1.9442
Dem,65 and older,Graduate or Professional Degree,Other,Female,White,Disapp.,Approve,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",Bexar,65 and older,Other Non-White,85 percent or higher,Cell,1,0.9208,0.5363,0.2375,0.5364
Rep,35 to 49,Some college or trade school,Other,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,35 to 49,Other Non-White,50 to 85 percent,Cell,0.8889,0.7235,1.3085,1.2721,1.3301
Rep,65 and older,Graduate or Professional Degree,Hispanic,Female,Other,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Unfavorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Bexar,65 and older,Hispanic,85 percent or higher,Landline,1,0.9523,0.7659,0.2232,0.7636
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,50 to 64,White,Less than 50 percent,Cell,1,0.4853,0.7795,0.4502,0.867
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Landline,1,0.9908,0.6095,0.1353,0.6068
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,Approve,Don't know,agree,agree,Dems. take House,Favorable,Favorable,Support,Support,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Democrat,Nonwhite,Bexar,35 to 49,White,Less than 50 percent,Landline,1,0.0706,1.0488,2.7581,1.8208
