response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,file_race_white,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Very likely,Republican,Nonwhite,Bexar,18 to 39,White,50 to 85 percent,Cell,0.8889,0.6447,1.1012,0.6316,1.0667,2018-10-13 15:57:02
Rep,35 to 49,Some college or trade school,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,Non-White,85 percent or higher,Cell,1,0.9495,1.5359,0.7478,1.4987,2018-10-13 15:57:20
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,Bexar,40 to 64,White,50 to 85 percent,Cell,1,0.7702,0.8084,0.3386,0.7935,2018-10-13 16:16:58
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,18 to 39,White,50 to 85 percent,Cell,1,0.8083,1.1879,0.6063,1.1957,2018-10-13 16:18:55
Rep,35 to 49,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Bexar,40 to 64,White,85 percent or higher,Cell,1,0.9008,0.6394,0.3371,0.6342,2018-10-13 16:21:28
Dem,35 to 49,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,50 to 85 percent,Cell,1,0.6777,2.5453,2.6169,2.5245,2018-10-13 16:27:19
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Democrat,Nonwhite,Bexar,18 to 39,Non-White,Less than 50 percent,Cell,0.4444,0.3703,1.1215,1.4553,0.6946,2018-10-13 16:47:51
Dem,50 to 64,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,Bexar,40 to 64,White,85 percent or higher,Cell,1,0.965,0.62,0.2436,0.6107,2018-10-13 16:49:30
Dem,65 and older,High school,Hispanic,Female,Hispanic,Approve,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Already voted,[DO NOT READ] Refused,Nonwhite,Dem. Rio Grande,65 and older,Non-White,50 to 85 percent,Cell,1,0.7888,1.9509,1.2692,2.0126,2018-10-13 16:49:48
Rep,65 and older,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Bexar,65 and older,Non-White,50 to 85 percent,Cell,1,0.5288,0.7289,0.3067,0.7423,2018-10-13 17:20:40
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",Bexar,40 to 64,White,85 percent or higher,Cell,0.2222,0.8528,0.4702,0.2636,0.3153,2018-10-13 17:21:43
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Bexar,40 to 64,White,50 to 85 percent,Cell,1,0.7843,0.8084,0.3331,0.8173,2018-10-13 17:25:55
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Bexar,40 to 64,Non-White,50 to 85 percent,Cell,1,0.7463,0.729,0.3598,0.7428,2018-10-13 17:26:49
Rep,65 and older,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,65 and older,Non-White,85 percent or higher,Cell,1,0.965,0.7755,0.244,0.764,2018-10-13 17:38:23
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Rep. Rio Grande,18 to 39,Non-White,85 percent or higher,Cell,1,0.9614,2.1575,1.3453,2.1259,2018-10-13 17:47:29
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.8865,0.8451,0.3407,0.8239,2018-10-13 17:53:11
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,Less than 50 percent,Cell,1,0.4723,1.7758,2.7673,1.9638,2018-10-13 17:53:29
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,Bexar,40 to 64,Non-White,85 percent or higher,Cell,1,0.9111,1.023,0.4957,0.9971,2018-10-13 18:16:47
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,Bexar,40 to 64,Non-White,50 to 85 percent,Cell,1,0.8157,0.8281,0.3202,0.8099,2018-10-13 18:19:29
Und,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Non-White,Less than 50 percent,Cell,1,0.4967,1.6379,2.1777,1.8786,2018-10-13 18:21:26
Rep,[DO NOT READ] Refused,Some college or trade school,Hispanic,Female,Hispanic,Approve,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,65 and older,Non-White,85 percent or higher,Cell,1,0.8987,1.0488,0.6392,1.0405,2018-10-13 18:25:38
Und,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,Bexar,18 to 39,Non-White,Less than 50 percent,Cell,1,0.1777,1.1215,2.9952,1.3539,2018-10-13 18:34:48
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",Bexar,40 to 64,White,50 to 85 percent,Cell,1,0.7576,1.9608,1.3328,1.927,2018-10-13 18:37:48
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9205,0.47,0.14,0.465,2018-10-13 18:37:48
Rep,65 and older,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Dem. Rio Grande,65 and older,White,85 percent or higher,Cell,0.4444,0.9521,0.6556,0.4048,0.6253,2018-10-13 18:40:39
3,18 to 34,Bachelors' degree,White,Male,White,Approve,Don't know,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,18 to 39,White,Less than 50 percent,Cell,1,0.2958,0.805,1.3156,0.9818,2018-10-13 18:42:36
Und,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),Nonwhite,Bexar,40 to 64,Non-White,50 to 85 percent,Cell,0.4444,0.622,1.8766,1.0547,1.3113,2018-10-13 18:48:34
Und,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,18 to 39,White,Less than 50 percent,Cell,0.3333,0.0612,0.7415,2.8261,0.2205,2018-10-13 18:49:10
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Dem. Rio Grande,40 to 64,White,Less than 50 percent,Cell,1,0.2454,0.9178,2.8383,1.1674,2018-10-13 18:50:22
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,Less than 50 percent,Cell,1,0.3483,0.4393,0.5832,0.5171,2018-10-13 18:57:25
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,40 to 64,White,85 percent or higher,Cell,1,0.9407,0.6394,0.3243,0.6312,2018-10-13 18:59:13
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,40 to 64,Non-White,50 to 85 percent,Cell,1,0.7373,0.9612,0.3747,0.9813,2018-10-13 18:59:13
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,18 to 39,Non-White,Less than 50 percent,Cell,1,0.4632,1.2001,1.6509,1.3322,2018-10-13 19:07:40
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,Less than 50 percent,Cell,0.8889,0.3723,0.7794,0.798,0.7917,2018-10-13 19:08:52
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,50 to 85 percent,Cell,1,0.7696,1.523,1.1703,1.495,2018-10-13 19:12:19
Rep,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,85 percent or higher,Cell,1,0.965,0.7263,0.3057,0.7095,2018-10-13 19:14:25
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Democrat,Nonwhite,Bexar,40 to 64,Non-White,Less than 50 percent,Cell,1,0.114,1.9969,8.9975,2.6214,2018-10-13 19:22:03
Und,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Disapp.,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",Bexar,18 to 39,White,Less than 50 percent,Cell,1,0.4254,0.805,0.9255,0.909,2018-10-13 19:26:42
Und,65 and older,Grade school,Hispanic,Female,Hispanic,Don't know,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Not at all likely,[DO NOT READ] Refused,Nonwhite,Dem. Rio Grande,65 and older,Non-White,50 to 85 percent,Cell,0.4444,0.6779,1.9509,1.4711,1.0421,2018-10-13 19:28:12
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,50 to 85 percent,Cell,1,0.7822,0.8861,0.4584,0.8963,2018-10-13 19:36:42
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Cell,1,0.965,0.682,0.2114,0.6718,2018-10-13 19:37:09
Dem,35 to 49,Some college or trade school,Hispanic,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),Nonwhite,Bexar,40 to 64,Non-White,Less than 50 percent,Cell,1,0.0897,1.1585,3.3486,1.173,2018-10-13 19:38:48
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,85 percent or higher,Cell,1,0.9472,0.6394,0.3223,0.6308,2018-10-13 19:41:30
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,Less than 50 percent,Cell,1,0.4528,0.5046,0.5032,0.5626,2018-10-13 19:42:42
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,50 to 85 percent,Cell,1,0.8358,0.819,0.2964,0.8204,2018-10-13 19:45:24
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,65 and older,Non-White,85 percent or higher,Cell,1,0.9462,0.5372,0.2615,0.53,2018-10-13 19:47:12
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Democrat,Nonwhite,Bexar,40 to 64,White,50 to 85 percent,Cell,1,0.6993,0.5233,0.2845,0.5389,2018-10-13 19:48:15
Und,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Rep. Rio Grande,40 to 64,White,Less than 50 percent,Cell,1,0.346,0.4002,0.5621,0.4717,2018-10-13 19:52:09
Dem,35 to 49,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,40 to 64,White,85 percent or higher,Cell,1,0.9202,0.7042,0.245,0.6967,2018-10-13 19:53:48
Und,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,[DO NOT READ] Refused,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,Less than 50 percent,Cell,0.4444,0.3597,0.7439,1.0422,0.4587,2018-10-13 19:58:00
Rep,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Bexar,40 to 64,Non-White,50 to 85 percent,Cell,1,0.6865,0.729,0.3881,0.753,2018-10-13 20:16:43
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,Less than 50 percent,Cell,1,0.4069,0.8187,1.5501,0.9328,2018-10-13 20:18:49
Dem,65 and older,Some college or trade school,White,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.965,0.5535,0.2781,0.5452,2018-10-13 20:18:58
Rep,65 and older,Graduate or Professional Degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Bexar,65 and older,Non-White,85 percent or higher,Cell,1,0.965,0.7841,0.2768,0.766,2018-10-13 20:19:16
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Dem. Rio Grande,40 to 64,White,85 percent or higher,Cell,0.8889,0.8633,0.4976,0.3129,0.491,2018-10-13 20:19:52
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,18 to 39,White,Less than 50 percent,Cell,0.8889,0.1573,1.2221,4.5256,1.6134,2018-10-13 20:20:19
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.965,0.7358,0.2879,0.7189,2018-10-13 20:20:28
Dem,50 to 64,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Bexar,40 to 64,Non-White,85 percent or higher,Cell,1,0.8615,2.8178,1.6823,2.5506,2018-10-13 20:22:16
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,18 to 39,Non-White,50 to 85 percent,Cell,1,0.8411,1.4295,0.8489,1.4306,2018-10-13 20:24:49
Rep,18 to 34,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Postgraduate Degree,Other,Female,Very likely,Republican,Nonwhite,Bexar,18 to 39,Non-White,Less than 50 percent,Cell,1,0.1729,1.1339,3.5555,1.3759,2018-10-13 20:24:49
Rep,[DO NOT READ] Refused,High school,White,Female,White,Approve,Dems. take House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9523,1.8364,0.9306,1.8107,2018-10-13 20:26:55
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,50 to 85 percent,Cell,0.6667,0.7803,0.9283,0.3678,0.8529,2018-10-13 20:27:58
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Bexar,40 to 64,White,50 to 85 percent,Cell,1,0.6836,0.8625,0.4661,0.8915,2018-10-13 20:28:34
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,50 to 85 percent,Cell,1,0.766,0.5233,0.2628,0.531,2018-10-13 20:39:20
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,Less than 50 percent,Cell,1,0.4392,1.1134,1.9939,1.2491,2018-10-13 20:40:14
