response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,TXHORSERACE,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,Ted Cruz,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Williamson,85 percent or higher,Landline,1,0.9401,0.7147,0.3546,0.7071,2018-10-01 22:46:23
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Unfavorable,Do not believe,Ted Cruz,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Williamson,85 percent or higher,Landline,1,0.985,1.3489,0.7526,1.3308,2018-10-01 22:46:59
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,Ted Cruz,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Williamson,85 percent or higher,Landline,1,0.8977,1.3745,0.7315,1.3668,2018-10-01 22:57:47
Dem,18 to 34,Bachelors' degree,White,Male,Hispanic,oppose,Approve,Check,support,Reps. keep House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,White,Bell,Less than 50 percent,Cell,0.7778,0.2068,1.2219,3.1575,1.432,2018-10-01 23:08:16
Dem,35 to 49,Graduate or Professional Degree,Black,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Other Non-White,Bell,50 to 85 percent,Cell,1,0.8011,0.9932,0.6529,1.0032,2018-10-01 23:12:28
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Approve,Don't know,oppose,Reps. keep House,Don't know,Unfavorable,Don't know,Beto O'Rourke,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Bell,85 percent or higher,Landline,1,0.9883,0.8234,0.3525,0.8125,2018-10-01 23:15:46
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Believe,Ted Cruz,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Bell,85 percent or higher,Cell,1,0.9693,0.9601,0.4719,0.9476,2018-10-01 23:20:29
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Check,support,Reps. keep House,Don't know,Don't know,Don't know,Ted Cruz,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Bell,Less than 50 percent,Landline,1,0.4735,1.1284,1.2696,1.1676,2018-10-01 23:29:38
Dem,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Hispanic,Williamson,50 to 85 percent,Cell,1,0.5622,1.0647,0.8338,1.1415,2018-10-01 23:37:51
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Williamson,50 to 85 percent,Cell,1,0.744,0.6774,0.348,0.692,2018-10-01 23:40:06
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,Do not believe,Ted Cruz,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Williamson,85 percent or higher,Landline,1,0.991,0.7147,0.3364,0.7053,2018-10-01 23:40:42
Dem,35 to 49,High school,Black,Female,Black,oppose,Disapp.,Support,support,Reps. keep House,Favorable,Unfavorable,Believe,Ted Cruz,agree,45 to 64,High School Grad. or Less,Other,Female,Very likely,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,Bell,Less than 50 percent,Landline,1,0.0903,1.3029,6.1002,1.7942,2018-10-01 23:41:00
Rep,65 and older,Bachelors' degree,White,Male,Other,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,4-year College Grad.,White,Austin/Round Rock,85 percent or higher,Landline,1,0.987,0.8069,0.3736,0.7961,2018-10-01 23:41:36
Dem,65 and older,Grade school,White,Female,Black,support,Disapp.,Check,Don't know,Don't know,Don't know,Favorable,Don't know,Beto O'Rourke,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,Bell,85 percent or higher,Landline,1,0.9439,1.1184,0.6063,1.106,2018-10-01 23:44:09
Und,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Don't know,oppose,Don't know,Don't know,Unfavorable,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Bell,50 to 85 percent,Cell,1,0.8451,1.1729,0.6211,1.1756,2018-10-01 23:52:41
Rep,65 and older,Some college or trade school,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,Ted Cruz,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Williamson,50 to 85 percent,Landline,1,0.584,1.4794,1.6699,1.5753,2018-10-01 23:57:20
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Williamson,50 to 85 percent,Landline,1,0.8058,1.5217,0.9717,1.5357,2018-10-02 00:01:53
Dem,35 to 49,Some college or trade school,Black,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,Williamson,85 percent or higher,Cell,1,0.985,1.3048,0.6864,1.2873000000000001,2018-10-02 00:05:56
Rep,50 to 64,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Bell,Less than 50 percent,Cell,1,0.3491,1.1284,1.7219,1.3304,2018-10-02 00:06:59
