response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.97,1.3837,0.8382,1.3257,2018-10-29 15:30:44
Rep,35 to 49,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,30 to 44,4-year College Grad.,Republican,Male,Already voted,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,White,"Dallas, Clinton",50 to 85 percent,Cell,1,0.8099,1.4051,1.1399,1.4128,2018-10-29 15:35:50
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.9091,0.4508,0.8775,2018-10-29 15:37:11
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.9264,0.4671,0.8943,2018-10-29 15:41:14
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,High School Grad. or Less,Other,Male,Already voted,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,"Rest, Clinton",50 to 85 percent,Landline,1,0.5206,0.9579,1.172,1.0647,2018-10-29 22:35:40
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,Beto O'Rourke,18 to 29,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.1374,0.6761,1.1035,2018-10-29 22:37:46
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,0.9002,0.5897,0.8733,2018-10-29 22:41:58
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Trump",Less than 50 percent,Cell,1,0.4264,0.497,0.513,0.5498,2018-10-29 22:45:01
Dem,18 to 34,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,Other Non-White,"Rest, Clinton",85 percent or higher,Cell,0.8889,0.8591,0.917,0.7965,0.8872,2018-10-29 22:52:13
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,0.6941,0.4004,0.665,2018-10-29 22:54:01
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,"Rest, Trump",85 percent or higher,Cell,1,0.9634,0.5994,0.2556,0.5822,2018-10-29 23:00:04
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Beto O'Rourke,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,0.694,0.3636,0.6733,2018-10-29 23:00:22
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.5426,0.1815,0.5264,2018-10-29 23:00:49
Und,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Trump",Less than 50 percent,Cell,0.5556,0.3191,0.8181,1.2981,0.5313,2018-10-29 23:04:07
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.6394,0.4335,0.6172,2018-10-29 23:05:28
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.9091,0.4508,0.882,2018-10-29 23:11:28
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,"Rest, Trump",Less than 50 percent,Cell,1,0.3028,0.8789,1.5087,0.949,2018-10-29 23:12:49
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,18 to 39,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,0.9174,0.611,0.89,2018-10-29 23:18:46
