response,ager,educ,file_race,gender,race_eth,approve,GOVHR,NFLA,NFLRIGHT,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,educ3,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Unfavorable,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",Rural,18 to 39,No 4-year College Degree,White,Less than 50 percent,Cell,0.6667,0.0319,1.1048,6.7462,0.9083
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,65 and older,4-year College Grad.,White,50 to 85 percent,Cell,1,0.7882,0.7698,0.3208,0.7864
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",Major City,18 to 39,Postgraduate Degree,Unknown,50 to 85 percent,Cell,1,0.5865,0.9361,0.7853,1.0048
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.8047,1.0943,0.7042,1.1144
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Major Suburbs,18 to 39,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.6505,1.2314,1.0574,1.2978
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Major Suburbs,65 and older,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.7258,1.3056,0.7797,1.3511
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9523,1.0996,0.5599,1.0962
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Minor City,40 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.939,0.7134,0.2308,0.7121
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Major City,40 to 64,4-year College Grad.,Hispanic,Less than 50 percent,Cell,1,0.4977,1.1349,0.9138,1.2561
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Lib./Don't know,support,oppose,Favorable,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,40 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9652,0.7704,0.3047,0.7673
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Rep.,support,support,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Minor City,40 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9773,0.7791,0.249,0.7755
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,40 to 64,Postgraduate Degree,Unknown,Less than 50 percent,Cell,1,0.478,0.7933,0.7791,0.8849
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Major Suburbs,18 to 39,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.3841,1.2297,2.0265,1.321
Rep,18 to 34,Bachelors' degree,White,Female,Other,Disapp.,Rep.,support,support,Favorable,Rep.,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,Nonwhite,Major Suburbs,18 to 39,4-year College Grad.,White,50 to 85 percent,Cell,1,0.525,0.882,0.6377,0.9664
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Lib./Don't know,Don't know,Don't know,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9922,0.7419,0.2255,0.7387
Dem,65 and older,Some college or trade school,Black,Male,Black,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Minor City,65 and older,No 4-year College Degree,Other Non-White,85 percent or higher,Cell,1,0.9014,1.1218,0.692,1.1248
Dem,50 to 64,Graduate or Professional Degree,Other,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",Major Suburbs,40 to 64,Postgraduate Degree,Other Non-White,50 to 85 percent,Cell,1,0.5752,0.8368,0.7484,0.9014
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,40 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9477,0.7212,0.244,0.7193
Dem,65 and older,Bachelors' degree,White,Female,Hispanic,Approve,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Major Suburbs,65 and older,4-year College Grad.,White,50 to 85 percent,Cell,1,0.7823,0.8203,0.3122,0.8132
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rural,40 to 64,No 4-year College Degree,White,Less than 50 percent,Landline,1,0.1928,1.1388,4.4623,1.5491
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",Major Suburbs,18 to 39,No 4-year College Degree,White,Less than 50 percent,Cell,0.6667,0.363,1.3182,2.7837,0.9688
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Major Suburbs,40 to 64,4-year College Grad.,Other Non-White,85 percent or higher,Landline,1,0.9236,0.7897,0.3623,0.7896
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Rural,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,0,0.9835,1.0527,0.6808,1.0076
