response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,"Salt Lake, Trump",85 percent or higher,Landline,1,0.97,0.9638,0.7523,0.931,2018-10-24 20:59:46
Rep,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",18 to 34,White,"Salt Lake, Clinton",85 percent or higher,Cell,1,0.8975,1.2355,0.7369,1.2171,2018-10-24 22:14:00
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Unknown,"Salt Lake, Trump",Less than 50 percent,Cell,1,0.2596,1.111,2.8724,1.3685,2018-10-24 22:28:09
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Salt Lake, Clinton",85 percent or higher,Cell,1,0.9604,0.8464,0.3217,0.8231,2018-10-24 22:33:34
Dem,65 and older,High school,Hispanic,Female,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Non-White,"Salt Lake, Clinton",85 percent or higher,Cell,1,0.8762,2.0101,1.8171,1.9623,2018-10-24 22:38:40
Und,35 to 49,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,South,Less than 50 percent,Cell,0.5556,0.3352,0.895,1.7123,0.8484,2018-10-24 22:46:01
Dem,50 to 64,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,White,"Salt Lake, Clinton",50 to 85 percent,Cell,1,0.6192,0.8594,0.7308,0.8863,2018-10-24 23:06:17
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),Nonwhite,35 to 49,Non-White,"Salt Lake, Clinton",Less than 50 percent,Cell,1,0.2588,0.8675,1.3946,1.1565,2018-10-24 23:40:18
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,"Salt Lake, Clinton",85 percent or higher,Landline,1,0.97,0.8142,0.3944,0.7904,2018-10-24 23:51:43
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Salt Lake, Clinton",85 percent or higher,Landline,1,0.97,0.8946,0.3624,0.8686,2018-10-24 23:53:04
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Already voted,Democrat,"White, No 4-Year College Degree",50 to 64,White,"Salt Lake, Trump",50 to 85 percent,Landline,1,0.8291,0.8109,0.4381,0.8119,2018-10-25 00:00:07
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Salt Lake, Clinton",85 percent or higher,Cell,1,0.9523,0.8212,0.3578,0.7943,2018-10-25 00:01:43
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,"Salt Lake, Clinton",85 percent or higher,Landline,1,0.9534,1.0031,0.731,0.9701,2018-10-25 00:06:58
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,"Salt Lake, Trump",85 percent or higher,Landline,1,0.97,2.1,1.9109,2.0285,2018-10-25 00:27:44
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,"Salt Lake, Trump",85 percent or higher,Landline,1,0.97,0.8476,0.457,0.8187,2018-10-25 00:48:12
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,"Salt Lake, Clinton",85 percent or higher,Cell,1,0.9682,1.0078,0.4921,0.9787,2018-10-25 00:49:24
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,South,Less than 50 percent,Cell,0.7778,0.3263,0.5941,0.8307,0.5668,2018-10-25 00:53:45
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",50 to 64,White,"Salt Lake, Clinton",85 percent or higher,Landline,1,0.954,1.0832,0.7013,1.0547,2018-10-25 00:55:06
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Salt Lake, Trump",85 percent or higher,Landline,1,0.97,1.1134,0.5709,1.0755,2018-10-25 00:57:57
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Salt Lake, Trump",50 to 85 percent,Cell,1,0.5725,1.0745,0.8515,1.1685,2018-10-25 00:59:54
Rep,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,"Salt Lake, Trump",85 percent or higher,Cell,1,0.97,1.0018,0.582,0.9677,2018-10-25 01:02:09
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Salt Lake, Clinton",85 percent or higher,Landline,1,0.9063,0.828,0.3093,0.8141,2018-10-25 01:18:36
