response,ager,educ,file_race,gender,race_eth,approve,CHECK,CLIMATE,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Bachelors' degree,Black,Male,White,Approve,Don't know,Not or not very,oppose,Reps. keep House,Don't know,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Black,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9288,0.7965,0.4134,0.7965
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,"Rest, Trump",50 to 85 percent,Cell,1,0.801,1.2372,0.7755,1.279
Dem,18 to 34,Bachelors' degree,White,Female,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Democrat,Nonwhite,18 to 34,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8988,1.098,0.6698,1.1173
Rep,50 to 64,Bachelors' degree,Black,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Black,"Virginia Beach, Clinton",Less than 50 percent,Cell,1,0.2509,0.7593,1.4601,0.9855
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9426,0.8763,0.4229,0.8767
Rep,50 to 64,Bachelors' degree,Hispanic,Male,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Other Non-White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9154,0.9781,0.5833,0.9932
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9897,0.8635,0.2904,0.8721
Dem,18 to 34,Some college or trade school,Black,Female,Asian,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Don't know,Favorable,agree,30 to 44,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,18 to 34,Black,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.5345,1.0781,1.1948,1.1248
Rep,50 to 64,High school,Black,Female,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Black,"Rest, Clinton",85 percent or higher,Cell,1,0.9334,1.1316,0.8798,1.1466
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9607,0.8438,0.4275,0.8453
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9375,0.9487,0.5465,0.9609
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.8265,1.0043,0.5245,1.0335
Rep,18 to 34,Graduate or Professional Degree,Black,Female,Black,Disapp.,Don't know,Very or somewhat,support,Dems. take House,Don't know,Favorable,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Black,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.8446,1.0626,0.5727,1.0901
Und,50 to 64,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Not or not very,oppose,Don't know,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,[DO NOT READ] Don't know/Refused,50 to 64,Unknown,"Rest, Clinton",85 percent or higher,Cell,1,0.95,0.8225,0.3856,0.832
Dem,50 to 64,Bachelors' degree,White,Male,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,50 to 64,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.7842,0.8479,0.4024,0.8794
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",50 to 85 percent,Cell,1,0.7225,1.0158,0.5487,1.0671
Dem,[DO NOT READ] Refused,High school,Black,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Unfavorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Black,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.8936,1.0042,0.7127,1.0226
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Favorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown,"Rest, Trump",85 percent or higher,Cell,1,0.8628,0.9328,0.7253,0.9335
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,0.4444,0.8426,1.0048,0.744,0.9136
Und,35 to 49,Some college or trade school,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Check,Very or somewhat,Don't know,Don't know,Don't know,Don't know,agree,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,35 to 49,Black,"Rest, Clinton",50 to 85 percent,Cell,1,0.5015,0.9599,1.3875,1.0762
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Favorable,agree,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,White,"Virginia Beach, Clinton",Less than 50 percent,Cell,1,0.0513,1.121,4.7788,2.1325
Rep,35 to 49,Graduate or Professional Degree,Other,Male,White,Disapp.,Check,Very or somewhat,oppose,Reps. keep House,Don't know,Favorable,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",35 to 49,Other Non-White,"Virginia Beach, Clinton",50 to 85 percent,Cell,0.8889,0.5826,0.9349,0.7274,0.9347
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,"Rest, Clinton",85 percent or higher,Cell,1,0.935,0.8143,0.3353,0.8249
Und,18 to 34,High school,White,Male,White,Approve,Support,Very or somewhat,Don't know,Don't know,Don't know,Don't know,agree,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,"Rest, Trump",Less than 50 percent,Cell,0.2222,0.2511,1.6595,4.7234,0.8232
Rep,50 to 64,High school,White,Male,White,Approve,Support,Not or not very,support,Reps. keep House,Don't know,Favorable,agree,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.5833,1.2033,1.0115,1.2429
