response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Graduate or Professional Degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Black,"Rest, Clinton",85 percent or higher,Cell,1,0.9162,0.561,0.2011,0.5516,2018-10-18 19:42:57
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Don't know,Dems. take House,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",18 to 39,White,"Rest, Trump",Less than 50 percent,Cell,1,0.4124,0.7285,0.8381,0.7612,2018-10-18 19:45:48
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8848,0.9591,0.4351,0.929,2018-10-18 20:44:10
Dem,35 to 49,Graduate or Professional Degree,Other,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,Other Non-White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.7745,0.698,0.3967,0.7025,2018-10-18 20:48:31
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.948,1.1575,0.5046,1.1343,2018-10-18 20:49:30
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9253,0.9854,0.7173,0.9679,2018-10-18 20:50:33
Dem,18 to 34,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 39,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.2383,1.8374,6.3284,2.0921,2018-10-18 20:56:51
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Cell,1,0.9541,1.0311,0.3308,1.0168,2018-10-18 20:57:18
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.7811,0.9857,0.4334,0.9907,2018-10-18 20:59:42
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 39,White,"Virginia Beach, Trump",Less than 50 percent,Cell,0.7778,0.3702,1.1305,3.0406,1.0812,2018-10-18 21:00:27
