response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9614,1.6591,1.4026,1.6169,2018-10-30 21:47:43
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,Asian,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,Henrico,65 and older,White,85 percent or higher,Landline,1,0.97,0.9339,0.4691,0.9029,2018-10-30 21:48:10
Und,35 to 49,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",Henrico,40 to 64,Unknown,Less than 50 percent,Cell,0,0.0818,1.6436,6.6437,0.3266,2018-10-30 21:52:49
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.5829,0.6927,0.5605,0.69,2018-10-30 22:02:01
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",Henrico,65 and older,White,50 to 85 percent,Landline,1,0.705,1.4503,1.5813,1.4178,2018-10-30 22:03:13
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Rest,40 to 64,White,85 percent or higher,Cell,1,0.9409,0.7694,0.4436,0.7512,2018-10-30 22:04:25
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",Henrico,40 to 64,White,50 to 85 percent,Cell,1,0.8414,0.8577,0.4828,0.8286,2018-10-30 22:05:55
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,50 to 85 percent,Landline,1,0.8109,0.6961,0.3323,0.7061,2018-10-30 22:07:34
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,White,50 to 85 percent,Cell,1,0.7443,0.698,0.4591,0.7038,2018-10-30 22:09:13
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Cell,1,0.97,0.7739,0.3634,0.7538,2018-10-30 22:09:13
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9381,0.8078,0.3956,0.7889,2018-10-30 22:09:13
Dem,35 to 49,Some college or trade school,Black,Female,Black,Don't know,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Chesterfield,18 to 39,Black,50 to 85 percent,Landline,1,0.7758,1.3033,0.8454,1.3056,2018-10-30 22:09:58
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.8614,0.8709,0.5446,0.8592,2018-10-30 22:12:49
Dem,50 to 64,High school,Hispanic,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Chesterfield,40 to 64,Other Non-White,50 to 85 percent,Cell,1,0.8322,1.5183,1.3989,1.5052,2018-10-30 22:13:25
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,50 to 85 percent,Landline,1,0.5236,0.5601,0.3949,0.6006,2018-10-30 22:17:12
