response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.9047,0.864,0.5193,0.8885,2018-10-14 19:52:43
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Vancouver,85 percent or higher,Cell,1,0.965,1.3675,1.0835,1.3816,2018-10-14 21:01:31
Und,65 and older,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,65 and older,White,Rest,50 to 85 percent,Cell,0.4444,0.7143,0.8133,0.5041,0.7588,2018-10-14 21:10:31
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest of Clark,50 to 85 percent,Cell,1,0.7336,0.8699,0.4653,0.9115,2018-10-14 21:24:57
Und,65 and older,Some college or trade school,White,Male,Black,Don't know,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,White,Vancouver,85 percent or higher,Cell,0.4444,0.965,0.7508,0.4956,0.7384,2018-10-14 21:32:27
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.7179,0.4153,0.7252,2018-10-14 21:45:23
Rep,50 to 64,Some college or trade school,White,Female,White,Don't know,Don't know,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Cell,1,0.9585,0.8978,0.4338,0.9074,2018-10-14 21:46:57
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.9998,0.737,1.01,2018-10-14 21:51:09
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Vancouver,50 to 85 percent,Cell,1,0.7774,0.9287,0.7728,0.9643,2018-10-14 21:55:12
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.8964,0.7615,0.4326,0.7613,2018-10-14 22:00:00
Rep,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,Vancouver,85 percent or higher,Cell,1,0.9278,0.8394,0.5896,0.851,2018-10-14 22:06:22
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,Vancouver,85 percent or higher,Cell,1,0.9572,0.8851,0.5352,0.8947,2018-10-14 22:12:40
Dem,35 to 49,Bachelors' degree,White,Female,Hispanic,Don't know,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,White,Vancouver,Less than 50 percent,Cell,1,0.2592,1.0991,3.4122,1.416,2018-10-14 22:17:19
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.9025,1.321,1.0382,1.3433,2018-10-14 22:24:46
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.965,0.7615,0.4023,0.7693,2018-10-14 22:24:55
Und,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,Less than 50 percent,Cell,1,0.4239,1.1721,1.9302,1.3582,2018-10-14 22:26:43
Und,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.965,1.2941,0.8862,1.2966,2018-10-14 22:52:22
Dem,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,65 and older,White,Rest of Clark,50 to 85 percent,Cell,1,0.5933,0.7228,0.4887,0.7451,2018-10-14 23:04:10
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,85 percent or higher,Cell,1,0.8914,1.0774,0.6658,1.0973,2018-10-14 23:11:49
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest,Less than 50 percent,Cell,0.8889,0.2893,0.8103,1.5626,0.9694,2018-10-14 23:12:25
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.9642,0.7721,0.4254,0.78,2018-10-14 23:17:33
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,Unknown,Rest of Clark,85 percent or higher,Cell,1,0.9472,1.5452,1.0633,1.5633,2018-10-14 23:25:12
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.965,0.6936,0.359,0.7007,2018-10-14 23:27:45
